Date,Cases,New_Cases,Deaths,New_deaths,Total_Cases_per_million,New_Cases_per_million,Total_Deaths_per_million,New_Deaths_per_million
01-04-2020,1397,146,35,3,1.012,0.106,0.025,0.002
02-04-2020,1965,568,50,15,1.424,0.412,0.036,0.011
03-04-2020,2301,336,56,6,1.667,0.243,0.041,0.004
04-04-2020,2902,601,68,12,2.103,0.436,0.049,0.009
05-04-2020,3374,472,77,9,2.445,0.342,0.056,0.007
06-04-2020,4067,693,109,32,2.947,0.502,0.079,0.023
07-04-2020,4421,354,114,5,3.204,0.257,0.083,0.004
08-04-2020,5194,773,149,35,3.764,0.56,0.108,0.025
09-04-2020,5734,540,166,17,4.155,0.391,0.12,0.012
10-04-2020,6412,678,199,33,4.646,0.491,0.144,0.024
11-04-2020,7447,1035,239,40,5.396,0.75,0.173,0.029
12-04-2020,8356,909,273,34,6.055,0.659,0.198,0.025
13-04-2020,9152,796,308,35,6.632,0.577,0.223,0.025
14-04-2020,10363,1211,339,31,7.509,0.878,0.246,0.022
15-04-2020,11438,1075,377,38,8.288,0.779,0.273,0.028
16-04-2020,12380,942,414,37,8.971,0.683,0.3,0.027
17-04-2020,13387,1007,437,23,9.701,0.73,0.317,0.017
18-04-2020,14378,991,480,43,10.419,0.718,0.348,0.031
19-04-2020,15712,1334,507,27,11.385,0.967,0.367,0.02
20-04-2020,17265,1553,543,36,12.511,1.125,0.393,0.026
21-04-2020,18600,1335,590,47,13.478,0.967,0.428,0.034
22-04-2020,19984,1384,640,50,14.481,1.003,0.464,0.036
23-04-2020,21393,1409,681,41,15.502,1.021,0.493,0.03
24-04-2020,23077,1684,718,37,16.722,1.22,0.52,0.027
25-04-2020,24506,1429,775,57,17.758,1.036,0.562,0.041
26-04-2020,26496,1990,824,49,19.2,1.442,0.597,0.036
27-04-2020,27892,1396,872,48,20.212,1.012,0.632,0.035
28-04-2020,29435,1543,934,62,21.33,1.118,0.677,0.045
29-04-2020,31332,1897,1007,73,22.704,1.375,0.73,0.053
30-04-2020,33050,1718,1074,67,23.949,1.245,0.778,0.049
01-05-2020,35043,1993,1147,73,25.393,1.444,0.831,0.053
02-05-2020,37336,2293,1218,71,27.055,1.662,0.883,0.051
03-05-2020,39980,2644,1301,83,28.971,1.916,0.943,0.06
04-05-2020,42533,2553,1373,72,30.821,1.85,0.995,0.052
05-05-2020,46433,3900,1568,195,33.647,2.826,1.136,0.141
06-05-2020,49391,2958,1694,126,35.79,2.143,1.228,0.091
07-05-2020,52952,3561,1783,89,38.371,2.58,1.292,0.064
08-05-2020,56342,3390,1886,103,40.827,2.457,1.367,0.075
09-05-2020,59662,3320,1981,95,43.233,2.406,1.436,0.069
10-05-2020,62939,3277,2109,128,45.608,2.375,1.528,0.093
11-05-2020,67152,4213,2206,97,48.661,3.053,1.599,0.07
12-05-2020,70756,3604,2293,87,51.272,2.612,1.662,0.063
13-05-2020,74281,3525,2415,122,53.827,2.554,1.75,0.088
14-05-2020,78003,3722,2549,134,56.524,2.697,1.847,0.097
15-05-2020,81970,3967,2649,100,59.398,2.875,1.92,0.072
16-05-2020,85940,3970,2752,103,62.275,2.877,1.994,0.075
17-05-2020,90927,4987,2872,120,65.889,3.614,2.081,0.087
18-05-2020,96169,5242,3029,157,69.687,3.799,2.195,0.114
19-05-2020,101139,4970,3163,134,73.289,3.601,2.292,0.097
20-05-2020,106750,5611,3303,140,77.355,4.066,2.393,0.101
21-05-2020,112359,5609,3435,132,81.419,4.064,2.489,0.096
22-05-2020,118447,6088,3583,148,85.831,4.412,2.596,0.107
23-05-2020,125101,6654,3720,137,90.653,4.822,2.696,0.099
24-05-2020,131868,6767,3867,147,95.556,4.904,2.802,0.107
25-05-2020,138845,6977,4021,154,100.612,5.056,2.914,0.112
26-05-2020,145380,6535,4167,146,105.347,4.735,3.02,0.106
27-05-2020,151767,6387,4337,170,109.976,4.628,3.143,0.123
28-05-2020,158333,6566,4531,194,114.734,4.758,3.283,0.141
29-05-2020,165799,7466,4706,175,120.144,5.41,3.41,0.127
30-05-2020,173763,7964,4971,265,125.915,5.771,3.602,0.192
31-05-2020,182143,8380,5164,193,131.987,6.072,3.742,0.14
01-06-2020,190535,8392,5394,230,138.068,6.081,3.909,0.167
02-06-2020,198706,8171,5598,204,143.989,5.921,4.057,0.148
03-06-2020,207615,8909,5815,217,150.445,6.456,4.214,0.157
04-06-2020,216919,9304,6075,260,157.187,6.742,4.402,0.188
05-06-2020,226770,9851,6348,273,164.326,7.138,4.6,0.198
06-06-2020,236657,9887,6642,294,171.49,7.164,4.813,0.213
07-06-2020,246628,9971,6929,287,178.715,7.225,5.021,0.208
08-06-2020,256611,9983,7135,206,185.949,7.234,5.17,0.149
09-06-2020,266598,9987,7466,331,193.186,7.237,5.41,0.24
10-06-2020,276583,9985,7745,279,200.422,7.235,5.612,0.202
11-06-2020,286579,9996,8102,357,207.665,7.243,5.871,0.259
12-06-2020,297535,10956,8498,396,215.604,7.939,6.158,0.287
13-06-2020,308993,11458,8884,386,223.907,8.303,6.438,0.28
14-06-2020,320922,11929,9195,311,232.551,8.644,6.663,0.225
15-06-2020,332424,11502,9520,325,240.886,8.335,6.899,0.236
16-06-2020,343091,10667,9900,380,248.616,7.73,7.174,0.275
17-06-2020,354065,10974,11903,2003,256.568,7.952,8.625,1.451
18-06-2020,366946,12881,12237,334,265.902,9.334,8.867,0.242
19-06-2020,380532,13586,12573,336,275.747,9.845,9.111,0.243
20-06-2020,395048,14516,12948,375,286.266,10.519,9.383,0.272
21-06-2020,410461,15413,13254,306,297.435,11.169,9.604,0.222
22-06-2020,425282,14821,13699,445,308.174,10.74,9.927,0.322
23-06-2020,440215,14933,14011,312,318.995,10.821,10.153,0.226
24-06-2020,456183,15968,14476,465,330.566,11.571,10.49,0.337
25-06-2020,473105,16922,14894,418,342.829,12.262,10.793,0.303
26-06-2020,490401,17296,15301,407,355.362,12.533,11.088,0.295
27-06-2020,508953,18552,15685,384,368.805,13.443,11.366,0.278
28-06-2020,528859,19906,16095,410,383.23,14.425,11.663,0.297
29-06-2020,548318,19459,16475,380,397.331,14.101,11.938,0.275
30-06-2020,566840,18522,16893,418,410.752,13.422,12.241,0.303
01-07-2020,585493,18653,17400,507,424.269,13.517,12.609,0.367
02-07-2020,604641,19148,17834,434,438.144,13.875,12.923,0.314
03-07-2020,625544,20903,18213,379,453.291,15.147,13.198,0.275
04-07-2020,648315,22771,18655,442,469.792,16.501,13.518,0.32
05-07-2020,673165,24850,19268,613,487.799,18.007,13.962,0.444
06-07-2020,697413,24248,19693,425,505.37,17.571,14.27,0.308
07-07-2020,719665,22252,20160,467,521.495,16.125,14.609,0.338
