Date,Cases,Deaths
01-04-2020,83,0
02-04-2020,86,1
03-04-2020,132,1
04-04-2020,161,1
05-04-2020,190,1
06-04-2020,226,3
07-04-2020,266,3
08-04-2020,305,4
09-04-2020,348,4
10-04-2020,363,6
11-04-2020,381,6
12-04-2020,381,6
13-04-2020,432,7
14-04-2020,473,9
15-04-2020,503,9
16-04-2020,534,14
17-04-2020,572,14
18-04-2020,603,15
19-04-2020,603,15
20-04-2020,722,20
21-04-2020,757,22
22-04-2020,813,24
23-04-2020,895,27
24-04-2020,955,29
25-04-2020,1061,31
26-04-2020,1097,31
27-04-2020,1177,31
28-04-2020,1259,31
29-04-2020,1332,31
30-04-2020,1403,31
01-05-2020,1463,33
02-05-2020,1463,33
03-05-2020,1583,33
04-05-2020,1650,36
05-05-2020,1717,36
06-05-2020,1717,36
07-05-2020,1777,36
08-05-2020,1847,38
09-05-2020,1887,41
10-05-2020,1930,44
11-05-2020,1980,45
12-05-2020,2018,45
13-05-2020,2090,46
14-05-2020,2137,47
15-05-2020,2205,48
16-05-2020,2307,48
17-05-2020,2355,49
18-05-2020,2407,50
19-05-2020,2474,50
20-05-2020,2532,52
21-05-2020,2602,53
22-05-2020,2647,53
23-05-2020,2709,55
24-05-2020,2757,56
25-05-2020,2823,56
26-05-2020,3110,56
27-05-2020,3171,57
28-05-2020,3171,58
29-05-2020,3251,59
30-05-2020,3436,60
31-05-2020,3569,60
01-06-2020,3679,62
02-06-2020,3783,64
03-06-2020,3898,64
04-06-2020,4080,68
05-06-2020,4223,71
06-06-2020,4303,73
07-06-2020,4510,73
08-06-2020,4708,75
09-06-2020,4851,75
10-06-2020,5070,77
11-06-2020,5269,78
12-06-2020,5429,80
13-06-2020,5680,80
14-06-2020,5965,82
15-06-2020,6163,84
16-06-2020,6456,88
17-06-2020,6841,88
18-06-2020,7071,90
19-06-2020,7518,92
20-06-2020,7961,96
21-06-2020,8452,101
22-06-2020,8999,106
23-06-2020,9372,111
24-06-2020,10002,119
25-06-2020,10331,124
26-06-2020,10884,136
27-06-2020,11489,148
28-06-2020,12285,157
29-06-2020,13241,169
30-06-2020,13891,180
01-07-2020,14595,187
02-07-2020,15252,193
03-07-2020,16097,198
04-07-2020,16934,206
05-07-2020,17699,218
06-07-2020,18697,232
07-07-2020,20019,239
08-07-2020,21197,252
09-07-2020,22259,264
10-07-2020,23814,277
11-07-2020,25422,292
12-07-2020,27235,309
13-07-2020,29168,328
14-07-2020,31103,365
15-07-2020,33019,408
16-07-2020,35451,452
17-07-2020,38044,492
18-07-2020,40646,534
19-07-2020,44609,586
20-07-2020,49650,642
21-07-2020,53724,696
22-07-2020,58668,758
23-07-2020,64713,823
24-07-2020,72711,884
25-07-2020,80858,933
26-07-2020,88671,985
27-07-2020,96298,1041
28-07-2020,102349,1090
29-07-2020,110297,1148
30-07-2020,120390,1213
31-07-2020,130557,1281
01-08-2020,140933,1349
02-08-2020,150209,1407
03-08-2020,158764,1474
04-08-2020,166586,1537
05-08-2020,176333,1604
06-08-2020,186461,1681
07-08-2020,196789,1753
08-08-2020,206960,1842
09-08-2020,217040,1939
10-08-2020,227860,2036
11-08-2020,235525,2116
12-08-2020,244549,2203
13-08-2020,254146,2296
14-08-2020,264142,2378
15-08-2020,273085,2475
16-08-2020,281817,2562
17-08-2020,289829,2650
18-08-2020,296609,2732
19-08-2020,306261,2820
20-08-2020,316003,2906
21-08-2020,325396,3001
22-08-2020,334940,3092
23-08-2020,345216,3189
24-08-2020,353111,3282
25-08-2020,361712,3368
26-08-2020,371639,3460
27-08-2020,382469,3541
28-08-2020,393090,3633
29-08-2020,403616,3714
30-08-2020,414164,3796
31-08-2020,424767,3884
