Date,Cases,Deaths
01-04-2020,,
02-04-2020,,
03-04-2020,1,0
04-04-2020,1,0
05-04-2020,1,0
06-04-2020,1,0
07-04-2020,1,0
08-04-2020,1,0
09-04-2020,1,0
10-04-2020,1,0
11-04-2020,1,0
12-04-2020,1,0
13-04-2020,1,0
14-04-2020,1,0
15-04-2020,1,0
16-04-2020,1,0
17-04-2020,1,0
18-04-2020,1,0
19-04-2020,1,0
20-04-2020,1,0
21-04-2020,1,0
22-04-2020,1,0
23-04-2020,1,0
24-04-2020,1,0
25-04-2020,1,0
26-04-2020,1,0
27-04-2020,1,0
28-04-2020,1,0
29-04-2020,1,0
30-04-2020,1,0
01-05-2020,1,0
02-05-2020,1,0
03-05-2020,1,0
04-05-2020,1,0
05-05-2020,1,0
06-05-2020,1,0
07-05-2020,1,0
08-05-2020,1,0
09-05-2020,1,0
10-05-2020,1,0
11-05-2020,1,0
12-05-2020,1,0
13-05-2020,1,0
14-05-2020,1,0
15-05-2020,1,0
16-05-2020,1,0
17-05-2020,1,0
18-05-2020,1,0
19-05-2020,1,0
20-05-2020,1,0
21-05-2020,1,0
22-05-2020,1,0
23-05-2020,1,0
24-05-2020,1,0
25-05-2020,1,0
26-05-2020,2,0
27-05-2020,2,0
28-05-2020,2,0
29-05-2020,3,0
30-05-2020,3,0
31-05-2020,4,0
01-06-2020,4,0
02-06-2020,22,0
03-06-2020,22,0
04-06-2020,38,0
05-06-2020,42,0
06-06-2020,45,0
07-06-2020,47,0
08-06-2020,51,0
09-06-2020,51,0
10-06-2020,57,0
11-06-2020,57,0
12-06-2020,61,0
13-06-2020,67,0
14-06-2020,87,0
15-06-2020,91,0
16-06-2020,91,0
17-06-2020,95,0
18-06-2020,99,0
19-06-2020,103,0
20-06-2020,103,0
21-06-2020,135,0
22-06-2020,135,0
23-06-2020,139,0
24-06-2020,148,0
25-06-2020,158,0
26-06-2020,160,1
27-06-2020,172,1
28-06-2020,177,1
29-06-2020,182,1
30-06-2020,187,1
01-07-2020,191,1
02-07-2020,195,1
03-07-2020,195,1
04-07-2020,252,1
05-07-2020,259,1
06-07-2020,269,1
07-07-2020,270,2
08-07-2020,276,2
09-07-2020,287,2
10-07-2020,302,2
11-07-2020,335,2
12-07-2020,341,2
13-07-2020,359,2
14-07-2020,387,2
15-07-2020,462,3
16-07-2020,462,3
17-07-2020,543,3
18-07-2020,609,3
19-07-2020,650,3
20-07-2020,740,3
21-07-2020,790,3
22-07-2020,858,3
23-07-2020,949,3
24-07-2020,991,3
25-07-2020,1056,3
26-07-2020,1126,3
27-07-2020,1158,3
28-07-2020,1239,3
29-07-2020,1330,3
30-07-2020,1410,3
31-07-2020,1484,3
01-08-2020,1591,3
02-08-2020,1673,3
03-08-2020,1698,3
04-08-2020,1758,3
05-08-2020,1790,3
06-08-2020,1855,3
07-08-2020,1948,3
08-08-2020,2049,3
09-08-2020,2117,3
10-08-2020,2155,3
11-08-2020,2231,3
12-08-2020,2327,3
13-08-2020,2430,3
14-08-2020,2512,4
15-08-2020,2607,5
16-08-2020,2658,5
17-08-2020,2701,5
18-08-2020,2741,5
19-08-2020,2875,5
20-08-2020,2950,5
21-08-2020,3066,5
22-08-2020,3126,5
23-08-2020,3223,5
24-08-2020,3263,5
25-08-2020,3312,5
26-08-2020,3412,5
27-08-2020,3555,5
28-08-2020,3633,5
29-08-2020,3745,5
30-08-2020,3877,5
31-08-2020,4034,7
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
