Date,Cases,Deaths
01-04-2020,1,0
02-04-2020,5,0
03-04-2020,16,0
04-04-2020,24,0
05-04-2020,26,0
06-04-2020,26,0
07-04-2020,26,0
08-04-2020,27,0
09-04-2020,28,0
10-04-2020,29,0
11-04-2020,29,1
12-04-2020,29,1
13-04-2020,31,1
14-04-2020,31,1
15-04-2020,33,1
16-04-2020,33,1
17-04-2020,35,1
18-04-2020,35,1
19-04-2020,35,1
20-04-2020,35,1
21-04-2020,35,1
22-04-2020,35,1
23-04-2020,35,1
24-04-2020,36,1
25-04-2020,36,1
26-04-2020,36,1
27-04-2020,36,1
28-04-2020,38,1
29-04-2020,38,1
30-04-2020,42,1
01-05-2020,42,1
02-05-2020,43,1
03-05-2020,43,1
04-05-2020,43,1
05-05-2020,43,1
06-05-2020,43,1
07-05-2020,45,1
08-05-2020,54,1
09-05-2020,59,1
10-05-2020,63,2
11-05-2020,63,2
12-05-2020,65,2
13-05-2020,65,2
14-05-2020,80,2
15-05-2020,87,2
16-05-2020,90,2
17-05-2020,92,2
18-05-2020,101,2
19-05-2020,107,2
20-05-2020,142,4
21-05-2020,170,4
22-05-2020,203,4
23-05-2020,259,4
24-05-2020,329,4
25-05-2020,378,4
26-05-2020,526,4
27-05-2020,616,4
28-05-2020,781,4
29-05-2020,856,4
30-05-2020,1024,4
31-05-2020,1185,4
01-06-2020,1272,4
02-06-2020,1390,4
03-06-2020,1513,4
04-06-2020,1672,4
05-06-2020,1988,4
06-06-2020,2153,4
07-06-2020,2397,4
08-06-2020,2565,4
09-06-2020,2776,4
10-06-2020,2937,4
11-06-2020,3092,4
12-06-2020,3319,6
13-06-2020,3498,8
14-06-2020,3718,8
15-06-2020,4049,8
16-06-2020,4158,8
17-06-2020,4319,8
18-06-2020,4605,8
19-06-2020,4777,9
20-06-2020,4904,9
21-06-2020,4904,9
22-06-2020,5388,9
23-06-2020,5586,9
24-06-2020,5831,9
25-06-2020,6198,9
26-06-2020,6321,9
27-06-2020,6607,9
28-06-2020,6816,9
29-06-2020,7206,10
30-06-2020,7752,11
01-07-2020,8227,12
02-07-2020,8582,12
03-07-2020,9013,12
04-07-2020,9673,14
05-07-2020,10668,14
06-07-2020,11388,14
07-07-2020,12160,14
08-07-2020,12522,14
09-07-2020,13336,16
10-07-2020,14032,22
11-07-2020,14600,27
12-07-2020,15536,35
13-07-2020,16071,35
14-07-2020,16806,36
15-07-2020,17807,40
16-07-2020,18666,46
17-07-2020,19754,48
18-07-2020,20646,51
19-07-2020,22918,53
20-07-2020,23999,57
21-07-2020,25382,58
22-07-2020,25382,58
23-07-2020,26772,64
24-07-2020,28791,70
25-07-2020,29921,76
26-07-2020,31086,77
27-07-2020,32228,79
28-07-2020,33576,86
29-07-2020,34947,88
30-07-2020,36295,92
31-07-2020,38407,94
01-08-2020,40269,98
02-08-2020,41726,101
03-08-2020,42904,105
04-08-2020,45275,109
05-08-2020,48161,115
06-08-2020,50445,121
07-08-2020,52817,126
08-08-2020,55496,132
09-08-2020,57714,140
10-08-2020,58837,145
11-08-2020,61737,151
12-08-2020,64406,155
13-08-2020,68999,161
14-08-2020,71795,169
15-08-2020,74501,175
16-08-2020,75558,182
17-08-2020,76875,189
18-08-2020,79667,197
19-08-2020,82201,203
20-08-2020,84317,213
21-08-2020,86052,221
22-08-2020,87908,227
23-08-2020,89468,234
24-08-2020,90740,242
25-08-2020,92619,252
26-08-2020,94592,260
27-08-2020,96771,274
28-08-2020,98807,278
29-08-2020,101367,286
30-08-2020,103794,289
31-08-2020,105774,296
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
