Date,Cases,Deaths
01-04-2020,23,1
02-04-2020,24,1
03-04-2020,29,1
04-04-2020,30,1
05-04-2020,30,1
06-04-2020,32,1
07-04-2020,32,1
08-04-2020,38,1
09-04-2020,39,1
10-04-2020,60,1
11-04-2020,60,1
12-04-2020,64,1
13-04-2020,64,1
14-04-2020,66,1
15-04-2020,70,1
16-04-2020,74,1
17-04-2020,83,1
18-04-2020,85,2
19-04-2020,86,2
20-04-2020,96,2
21-04-2020,114,2
22-04-2020,126,2
23-04-2020,148,2
24-04-2020,176,2
25-04-2020,228,2
26-04-2020,251,2
27-04-2020,277,2
28-04-2020,346,2
29-04-2020,383,2
30-04-2020,403,2
01-05-2020,426,2
02-05-2020,471,3
03-05-2020,482,4
04-05-2020,517,4
05-05-2020,529,4
06-05-2020,536,4
07-05-2020,542,4
08-05-2020,550,5
09-05-2020,571,5
10-05-2020,591,5
11-05-2020,696,6
12-05-2020,747,6
13-05-2020,831,6
14-05-2020,940,7
15-05-2020,994,7
16-05-2020,1018,7
17-05-2020,1179,7
18-05-2020,1262,8
19-05-2020,1391,9
20-05-2020,1498,9
21-05-2020,1674,10
22-05-2020,1982,11
23-05-2020,2177,11
24-05-2020,2380,11
25-05-2020,2587,13
26-05-2020,2730,13
27-05-2020,2983,13
28-05-2020,3061,15
29-05-2020,3296,15
30-05-2020,3376,15
31-05-2020,3636,20
01-06-2020,3815,21
02-06-2020,3926,24
03-06-2020,4155,24
04-06-2020,4390,25
05-06-2020,4493,29
06-06-2020,4596,29
07-06-2020,4915,30
08-06-2020,5088,30
09-06-2020,5202,31
10-06-2020,5459,32
11-06-2020,5710,33
12-06-2020,5983,36
13-06-2020,6103,36
14-06-2020,6290,39
15-06-2020,6470,39
16-06-2020,6650,40
17-06-2020,6778,41
18-06-2020,6942,44
19-06-2020,7025,44
20-06-2020,7181,50
21-06-2020,7533,52
22-06-2020,7612,53
23-06-2020,7825,55
24-06-2020,8153,56
25-06-2020,8209,57
26-06-2020,8473,57
27-06-2020,8716,58
28-06-2020,8931,59
29-06-2020,9212,60
30-06-2020,9640,62
01-07-2020,10043,67
02-07-2020,10249,70
03-07-2020,10471,77
04-07-2020,10954,80
05-07-2020,11700,89
06-07-2020,11876,95
07-07-2020,12125,97
08-07-2020,12570,104
09-07-2020,13189,107
10-07-2020,13944,115
11-07-2020,14575,119
12-07-2020,15373,131
13-07-2020,16642,143
14-07-2020,17959,160
15-07-2020,19284,174
16-07-2020,20612,180
17-07-2020,21764,197
18-07-2020,23589,201
19-07-2020,25136,208
20-07-2020,26569,217
21-07-2020,27646,217
22-07-2020,28952,217
23-07-2020,30369,217
24-07-2020,31980,217
25-07-2020,33926,220
26-07-2020,36604,234
27-07-2020,39176,244
28-07-2020,41244,253
29-07-2020,43843,269
30-07-2020,46080,278
31-07-2020,48477,282
01-08-2020,51233,296
02-08-2020,54240,309
03-08-2020,57024,329
04-08-2020,59328,330
05-08-2020,61788,347
06-08-2020,64770,355
07-08-2020,67788,363
08-08-2020,71304,369
09-08-2020,75294,382
10-08-2020,79451,387
11-08-2020,82550,397
12-08-2020,86413,413
13-08-2020,90321,416
14-08-2020,94193,426
15-08-2020,98008,442
16-08-2020,101551,450
17-08-2020,103844,461
18-08-2020,106307,468
19-08-2020,109498,476
20-08-2020,112437,487
21-08-2020,114941,492
22-08-2020,117413,498
23-08-2020,119529,503
24-08-2020,121947,511
25-08-2020,123198,514
26-08-2020,124536,519
27-08-2020,126714,530
28-08-2020,128780,538
29-08-2020,131057,558
30-08-2020,133003,561
31-08-2020,135035,578
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
