Date,Cases,Deaths
01-04-2020,16,0
02-04-2020,16,0
03-04-2020,18,0
04-04-2020,18,0
05-04-2020,18,0
06-04-2020,18,0
07-04-2020,18,0
08-04-2020,18,0
09-04-2020,18,0
10-04-2020,18,0
11-04-2020,18,0
12-04-2020,19,0
13-04-2020,21,0
14-04-2020,21,0
15-04-2020,21,0
16-04-2020,21,0
17-04-2020,21,0
18-04-2020,21,0
19-04-2020,23,0
20-04-2020,26,0
21-04-2020,26,0
22-04-2020,27,0
23-04-2020,27,0
24-04-2020,27,0
25-04-2020,28,0
26-04-2020,30,0
27-04-2020,30,0
28-04-2020,40,0
29-04-2020,56,0
30-04-2020,56,0
01-05-2020,56,0
02-05-2020,88,0
03-05-2020,94,0
04-05-2020,94,0
05-05-2020,102,1
06-05-2020,111,1
07-05-2020,120,1
08-05-2020,135,1
09-05-2020,150,1
10-05-2020,169,2
11-05-2020,169,2
12-05-2020,174,2
13-05-2020,187,3
14-05-2020,187,3
15-05-2020,191,3
16-05-2020,191,3
17-05-2020,191,3
18-05-2020,191,3
19-05-2020,196,3
20-05-2020,200,3
21-05-2020,202,3
22-05-2020,217,3
23-05-2020,218,3
24-05-2020,225,3
25-05-2020,238,3
26-05-2020,238,3
27-05-2020,266,4
28-05-2020,279,4
29-05-2020,288,4
30-05-2020,289,4
31-05-2020,289,4
01-06-2020,293,4
02-06-2020,294,4
03-06-2020,301,5
04-06-2020,301,5
05-06-2020,301,5
06-06-2020,304,5
07-06-2020,309,5
08-06-2020,314,5
09-06-2020,317,5
10-06-2020,323,5
11-06-2020,327,5
12-06-2020,332,5
13-06-2020,334,5
14-06-2020,345,5
15-06-2020,352,5
16-06-2020,354,6
17-06-2020,358,6
18-06-2020,368,6
19-06-2020,374,6
20-06-2020,381,6
21-06-2020,404,6
22-06-2020,406,6
23-06-2020,411,6
24-06-2020,418,6
25-06-2020,420,6
26-06-2020,423,6
27-06-2020,425,6
28-06-2020,428,6
29-06-2020,429,6
30-06-2020,435,6
01-07-2020,440,6
02-07-2020,446,6
03-07-2020,450,6
04-07-2020,457,6
05-07-2020,460,6
06-07-2020,466,6
07-07-2020,489,6
08-07-2020,494,7
09-07-2020,513,7
10-07-2020,523,7
11-07-2020,539,7
12-07-2020,555,7
13-07-2020,559,8
14-07-2020,588,8
15-07-2020,600,10
16-07-2020,625,11
17-07-2020,651,11
18-07-2020,660,11
19-07-2020,700,12
20-07-2020,717,12
21-07-2020,737,12
22-07-2020,751,12
23-07-2020,793,13
24-07-2020,800,13
25-07-2020,823,13
26-07-2020,852,13
27-07-2020,887,13
28-07-2020,910,14
29-07-2020,934,14
30-07-2020,978,14
31-07-2020,1016,14
01-08-2020,1051,15
02-08-2020,1079,18
03-08-2020,1117,19
04-08-2020,1159,19
05-08-2020,1206,20
06-08-2020,1270,20
07-08-2020,1327,20
08-08-2020,1374,23
09-08-2020,1426,24
10-08-2020,1515,25
11-08-2020,1595,25
12-08-2020,1670,26
13-08-2020,1751,26
14-08-2020,1842,27
15-08-2020,1928,28
16-08-2020,2009,28
17-08-2020,2102,29
18-08-2020,2216,30
19-08-2020,2305,30
20-08-2020,2396,31
21-08-2020,2515,31
22-08-2020,2631,33
23-08-2020,2776,33
24-08-2020,2918,37
25-08-2020,3035,37
26-08-2020,3209,40
27-08-2020,3376,41
28-08-2020,3564,43
29-08-2020,3724,45
30-08-2020,3985,45
31-08-2020,4155,52
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
