Date,Cases,Deaths
01-04-2020,9,0
02-04-2020,9,0
03-04-2020,9,0
04-04-2020,9,0
05-04-2020,9,0
06-04-2020,10,0
07-04-2020,10,0
08-04-2020,10,0
09-04-2020,10,0
10-04-2020,10,0
11-04-2020,18,0
12-04-2020,25,0
13-04-2020,31,0
14-04-2020,31,0
15-04-2020,33,0
16-04-2020,33,0
17-04-2020,36,0
18-04-2020,36,0
19-04-2020,36,0
20-04-2020,36,0
21-04-2020,36,0
22-04-2020,36,0
23-04-2020,36,0
24-04-2020,36,0
25-04-2020,36,0
26-04-2020,37,0
27-04-2020,37,0
28-04-2020,37,0
29-04-2020,38,0
30-04-2020,38,0
01-05-2020,40,0
02-05-2020,43,0
03-05-2020,43,0
04-05-2020,57,0
05-05-2020,58,0
06-05-2020,59,0
07-05-2020,59,0
08-05-2020,59,0
09-05-2020,59,0
10-05-2020,59,0
11-05-2020,59,0
12-05-2020,59,0
13-05-2020,59,0
14-05-2020,59,0
15-05-2020,60,0
16-05-2020,66,0
17-05-2020,67,0
18-05-2020,86,0
19-05-2020,93,0
20-05-2020,101,0
21-05-2020,115,0
22-05-2020,128,0
23-05-2020,172,0
24-05-2020,214,0
25-05-2020,252,0
26-05-2020,291,0
27-05-2020,361,0
28-05-2020,369,0
29-05-2020,399,0
30-05-2020,415,1
31-05-2020,447,1
01-06-2020,498,1
02-06-2020,547,1
03-06-2020,564,1
04-06-2020,668,2
05-06-2020,756,2
06-06-2020,879,2
07-06-2020,923,4
08-06-2020,1073,4
09-06-2020,1160,4
10-06-2020,1240,6
11-06-2020,1262,6
12-06-2020,1398,6
13-06-2020,1429,6
14-06-2020,1512,6
15-06-2020,1662,8
16-06-2020,1756,8
17-06-2020,1781,9
18-06-2020,1864,10
19-06-2020,1946,10
20-06-2020,2028,10
21-06-2020,2041,11
22-06-2020,2275,11
23-06-2020,2303,12
24-06-2020,2362,12
25-06-2020,2419,12
26-06-2020,2452,12
27-06-2020,2545,13
28-06-2020,2545,13
29-06-2020,2662,13
30-06-2020,2761,13
01-07-2020,2860,13
02-07-2020,2940,14
03-07-2020,3013,14
04-07-2020,3065,14
05-07-2020,3161,14
06-07-2020,3207,14
07-07-2020,3305,14
08-07-2020,3415,14
09-07-2020,3525,14
10-07-2020,3675,15
11-07-2020,3767,17
12-07-2020,3897,17
13-07-2020,4059,19
14-07-2020,4217,19
15-07-2020,4379,20
16-07-2020,4539,20
17-07-2020,4732,21
18-07-2020,4964,23
19-07-2020,5233,24
20-07-2020,5407,24
21-07-2020,5561,25
22-07-2020,5729,29
23-07-2020,5968,29
24-07-2020,6254,30
25-07-2020,6731,36
26-07-2020,7087,39
27-07-2020,7450,43
28-07-2020,7745,44
29-07-2020,8257,46
30-07-2020,8539,48
31-07-2020,8761,51
01-08-2020,9086,53
02-08-2020,9385,55
03-08-2020,9531,58
04-08-2020,9779,61
05-08-2020,10202,69
06-08-2020,10407,71
07-08-2020,10932,77
08-08-2020,11408,87
09-08-2020,11743,89
10-08-2020,12148,96
11-08-2020,12448,99
12-08-2020,12929,104
13-08-2020,13498,109
14-08-2020,13937,114
15-08-2020,14481,130
16-08-2020,14987,134
17-08-2020,15471,141
18-08-2020,16025,150
19-08-2020,16833,158
20-08-2020,17485,161
21-08-2020,18501,168
22-08-2020,19510,180
23-08-2020,20078,189
24-08-2020,20918,197
25-08-2020,22054,206
26-08-2020,23341,221
27-08-2020,24550,231
28-08-2020,25988,245
29-08-2020,27233,251
30-08-2020,28746,262
31-08-2020,30092,269
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
