Date,Cases,Deaths
01-04-2020,,
02-04-2020,,
03-04-2020,,
04-04-2020,,
05-04-2020,,
06-04-2020,,
07-04-2020,,
08-04-2020,,
09-04-2020,,
10-04-2020,,
11-04-2020,,
12-04-2020,,
13-04-2020,,
14-04-2020,,
15-04-2020,,
16-04-2020,,
17-04-2020,,
18-04-2020,,
19-04-2020,,
20-04-2020,,
21-04-2020,,
22-04-2020,,
23-04-2020,,
24-04-2020,,
25-04-2020,,
26-04-2020,,
27-04-2020,,
28-04-2020,,
29-04-2020,,
30-04-2020,,
01-05-2020,,
02-05-2020,,
03-05-2020,,
04-05-2020,,
05-05-2020,,
06-05-2020,1,0
07-05-2020,1,0
08-05-2020,1,0
09-05-2020,1,0
10-05-2020,1,0
11-05-2020,1,0
12-05-2020,1,0
13-05-2020,1,0
14-05-2020,1,0
15-05-2020,1,0
16-05-2020,1,0
17-05-2020,1,0
18-05-2020,1,0
19-05-2020,1,0
20-05-2020,1,0
21-05-2020,1,0
22-05-2020,1,0
23-05-2020,1,0
24-05-2020,2,0
25-05-2020,2,0
26-05-2020,2,0
27-05-2020,2,0
28-05-2020,2,0
29-05-2020,2,0
30-05-2020,2,0
31-05-2020,2,0
01-06-2020,2,0
02-06-2020,3,0
03-06-2020,4,0
04-06-2020,8,0
05-06-2020,12,0
06-06-2020,14,0
07-06-2020,19,0
08-06-2020,20,0
09-06-2020,22,0
10-06-2020,22,0
11-06-2020,26,0
12-06-2020,30,0
13-06-2020,30,0
14-06-2020,35,0
15-06-2020,36,0
16-06-2020,36,0
17-06-2020,45,0
18-06-2020,57,0
19-06-2020,58,0
20-06-2020,62,0
21-06-2020,68,0
22-06-2020,88,0
23-06-2020,91,0
24-06-2020,120,0
25-06-2020,120,0
26-06-2020,155,0
27-06-2020,163,0
28-06-2020,177,0
29-06-2020,178,0
30-06-2020,203,0
01-07-2020,213,0
02-07-2020,215,0
03-07-2020,230,0
04-07-2020,257,0
05-07-2020,271,0
06-07-2020,271,0
07-07-2020,297,0
08-07-2020,405,0
09-07-2020,408,0
10-07-2020,411,0
11-07-2020,459,0
12-07-2020,471,0
13-07-2020,479,0
14-07-2020,495,1
15-07-2020,520,1
16-07-2020,539,2
17-07-2020,552,2
18-07-2020,585,2
19-07-2020,602,2
20-07-2020,605,2
21-07-2020,684,2
22-07-2020,705,2
23-07-2020,733,2
24-07-2020,770,2
25-07-2020,815,2
26-07-2020,860,2
27-07-2020,914,2
28-07-2020,946,2
29-07-2020,982,2
30-07-2020,1026,2
31-07-2020,1064,2
01-08-2020,1100,2
02-08-2020,1145,2
03-08-2020,1184,2
04-08-2020,1274,2
05-08-2020,1325,2
06-08-2020,1366,2
07-08-2020,1391,2
08-08-2020,1437,2
09-08-2020,1456,2
10-08-2020,1564,2
11-08-2020,1613,2
12-08-2020,1653,2
13-08-2020,1696,2
14-08-2020,1752,2
15-08-2020,1797,2
16-08-2020,1843,2
17-08-2020,1878,2
18-08-2020,1908,2
19-08-2020,1951,2
20-08-2020,1995,2
21-08-2020,2030,2
22-08-2020,2082,2
23-08-2020,2120,2
24-08-2020,2161,2
25-08-2020,2181,2
26-08-2020,2203,2
27-08-2020,2228,2
28-08-2020,2266,2
29-08-2020,2290,2
30-08-2020,2306,2
31-08-2020,2340,2
