Date,Cases,Deaths
01-04-2020,152,2
02-04-2020,219,4
03-04-2020,219,4
04-04-2020,445,6
05-04-2020,503,7
06-04-2020,523,7
07-04-2020,576,7
08-04-2020,576,9
09-04-2020,669,9
10-04-2020,898,13
11-04-2020,903,14
12-04-2020,1069,19
13-04-2020,1154,24
14-04-2020,1510,28
15-04-2020,1561,30
16-04-2020,1578,32
17-04-2020,1640,38
18-04-2020,1707,42
19-04-2020,1893,43
20-04-2020,2003,45
21-04-2020,2081,47
22-04-2020,2156,47
23-04-2020,2248,48
24-04-2020,2376,50
25-04-2020,2514,53
26-04-2020,2625,54
27-04-2020,2918,54
28-04-2020,3108,54
29-04-2020,3314,54
30-04-2020,3439,56
01-05-2020,3515,59
02-05-2020,3738,61
03-05-2020,4122,64
04-05-2020,4549,64
05-05-2020,4898,64
06-05-2020,5104,64
07-05-2020,5532,65
08-05-2020,5980,66
09-05-2020,6318,68
10-05-2020,6542,73
11-05-2020,6923,73
12-05-2020,7233,73
13-05-2020,7639,86
14-05-2020,7998,106
15-05-2020,8470,115
16-05-2020,8895,123
17-05-2020,9333,129
18-05-2020,10054,160
19-05-2020,10054,168
20-05-2020,10554,168
21-05-2020,11088,176
22-05-2020,11659,194
23-05-2020,12319,208
24-05-2020,12910,231
25-05-2020,13418,261
26-05-2020,14053,276
27-05-2020,14465,288
28-05-2020,15257,303
29-05-2020,16281,316
30-05-2020,17386,398
31-05-2020,18549,416
01-06-2020,19844,473
02-06-2020,20834,523
03-06-2020,22132,556
04-06-2020,23645,606
05-06-2020,25004,650
06-06-2020,26334,708
07-06-2020,27654,761
08-06-2020,27654,761
09-06-2020,29943,874
10-06-2020,31309,905
11-06-2020,32810,984
12-06-2020,34687,1085
13-06-2020,36824,1214
14-06-2020,38958,1271
15-06-2020,41182,1327
16-06-2020,42829,1400
17-06-2020,44688,1837
18-06-2020,47102,1904
19-06-2020,49979,1969
20-06-2020,53116,2035
21-06-2020,56746,2112
22-06-2020,59746,2175
23-06-2020,62655,2233
24-06-2020,66602,2301
25-06-2020,70390,2365
26-06-2020,73780,2429
27-06-2020,77240,2492
28-06-2020,80188,2558
29-06-2020,83077,2623
30-06-2020,85161,2680
01-07-2020,87360,2742
02-07-2020,89802,2803
03-07-2020,92175,2864
04-07-2020,94695,2923
05-07-2020,97200,3004
06-07-2020,99444,3067
07-07-2020,100823,3115
08-07-2020,102831,3165
09-07-2020,104864,3213
10-07-2020,107051,3258
11-07-2020,109140,3300
12-07-2020,110921,3334
13-07-2020,112494,3371
14-07-2020,113740,3411
15-07-2020,115346,3446
16-07-2020,116993,3487
17-07-2020,118645,3545
18-07-2020,120107,3571
19-07-2020,121582,3597
20-07-2020,122793,3628
21-07-2020,123747,3663
22-07-2020,125096,3690
23-07-2020,126323,3719
24-07-2020,127364,3745
25-07-2020,128389,3777
26-07-2020,129531,3806
27-07-2020,130606,3827
28-07-2020,131219,3853
29-07-2020,132275,3881
30-07-2020,133310,3907
31-07-2020,134403,3936
01-08-2020,135598,3963
02-08-2020,136716,3989
03-08-2020,137677,4004
04-08-2020,138482,4021
05-08-2020,139156,4033
06-08-2020,140232,4044
07-08-2020,141531,4059
08-08-2020,142723,4082
09-08-2020,144127,4098
10-08-2020,145427,4111
11-08-2020,146134,4131
12-08-2020,147391,4139
13-08-2020,148504,4153
14-08-2020,149460,4167
15-08-2020,150652,4178
16-08-2020,151928,4188
17-08-2020,152580,4196
18-08-2020,153367,4214
19-08-2020,154741,4226
20-08-2020,156139,4235
21-08-2020,157354,4257
22-08-2020,158604,4270
23-08-2020,160016,4284
24-08-2020,161466,4300
25-08-2020,162527,4313
26-08-2020,164071,4330
27-08-2020,165764,4347
28-08-2020,167604,4369
29-08-2020,169412,4389
30-08-2020,171366,4404
31-08-2020,173390,4426
