Date,Cases,Deaths
01-04-2020,5,0
02-04-2020,5,0
03-04-2020,6,0
04-04-2020,7,0
05-04-2020,7,0
06-04-2020,7,0
07-04-2020,7,0
08-04-2020,7,0
09-04-2020,7,0
10-04-2020,7,0
11-04-2020,7,0
12-04-2020,7,0
13-04-2020,7,0
14-04-2020,7,0
15-04-2020,7,0
16-04-2020,7,0
17-04-2020,7,0
18-04-2020,7,0
19-04-2020,7,0
20-04-2020,7,0
21-04-2020,7,0
22-04-2020,7,0
23-04-2020,7,0
24-04-2020,7,0
25-04-2020,7,0
26-04-2020,7,0
27-04-2020,7,0
28-04-2020,7,0
29-04-2020,7,0
30-04-2020,7,0
01-05-2020,7,0
02-05-2020,7,0
03-05-2020,7,0
04-05-2020,7,0
05-05-2020,7,0
06-05-2020,7,0
07-05-2020,7,0
08-05-2020,7,0
09-05-2020,7,0
10-05-2020,7,0
11-05-2020,7,0
12-05-2020,7,0
13-05-2020,7,0
14-05-2020,7,0
15-05-2020,14,0
16-05-2020,15,0
17-05-2020,17,0
18-05-2020,29,0
19-05-2020,38,0
20-05-2020,46,0
21-05-2020,50,0
22-05-2020,52,0
23-05-2020,54,0
24-05-2020,55,0
25-05-2020,66,0
26-05-2020,67,0
27-05-2020,67,0
28-05-2020,68,0
29-05-2020,69,0
30-05-2020,69,0
31-05-2020,70,0
01-06-2020,70,0
02-06-2020,71,0
03-06-2020,79,0
04-06-2020,79,0
05-06-2020,166,0
06-06-2020,196,0
07-06-2020,267,0
08-06-2020,300,0
09-06-2020,330,0
10-06-2020,359,0
11-06-2020,387,0
12-06-2020,417,0
13-06-2020,463,0
14-06-2020,523,0
15-06-2020,564,0
16-06-2020,592,0
17-06-2020,629,0
18-06-2020,656,0
19-06-2020,705,0
20-06-2020,725,0
21-06-2020,754,0
22-06-2020,754,0
23-06-2020,864,1
24-06-2020,909,1
25-06-2020,951,2
26-06-2020,995,2
27-06-2020,1039,2
28-06-2020,1128,2
29-06-2020,1198,3
30-06-2020,1198,3
01-07-2020,1315,3
02-07-2020,1387,4
03-07-2020,1482,4
04-07-2020,1482,4
05-07-2020,1684,6
06-07-2020,1761,7
07-07-2020,1813,7
08-07-2020,1903,8
09-07-2020,2039,8
10-07-2020,2151,9
11-07-2020,2251,9
12-07-2020,2368,12
13-07-2020,2453,14
14-07-2020,2583,17
15-07-2020,2753,18
16-07-2020,2951,18
17-07-2020,3108,19
18-07-2020,3304,21
19-07-2020,3484,21
20-07-2020,3657,22
21-07-2020,3853,23
22-07-2020,4027,26
23-07-2020,4176,28
24-07-2020,4350,29
25-07-2020,4540,29
26-07-2020,4686,33
27-07-2020,4861,35
28-07-2020,5119,36
29-07-2020,5287,36
30-07-2020,5489,39
31-07-2020,5704,42
01-08-2020,5913,45
02-08-2020,6193,48
03-08-2020,6530,53
04-08-2020,6816,56
05-08-2020,7075,60
06-08-2020,7423,64
07-08-2020,7614,66
08-08-2020,7947,70
09-08-2020,8206,72
10-08-2020,8712,75
11-08-2020,9029,80
12-08-2020,9444,86
13-08-2020,9924,89
14-08-2020,10494,91
15-08-2020,10970,93
16-08-2020,11339,98
17-08-2020,11639,104
18-08-2020,11994,111
19-08-2020,12333,116
20-08-2020,12675,124
21-08-2020,13099,126
22-08-2020,13484,135
23-08-2020,13790,140
24-08-2020,13999,144
25-08-2020,14138,148
26-08-2020,14530,157
27-08-2020,15027,165
28-08-2020,15483,171
29-08-2020,16006,175
30-08-2020,16553,178
31-08-2020,17004,183
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
