Date,Cases,Deaths
01-04-2020,82,6
02-04-2020,87,7
03-04-2020,95,8
04-04-2020,105,10
05-04-2020,122,11
06-04-2020,144,12
07-04-2020,165,13
08-04-2020,165,13
09-04-2020,179,16
10-04-2020,241,17
11-04-2020,308,19
12-04-2020,432,22
13-04-2020,539,26
14-04-2020,617,26
15-04-2020,695,30
16-04-2020,871,36
17-04-2020,1021,38
18-04-2020,1272,48
19-04-2020,1604,58
20-04-2020,1851,67
21-04-2020,2066,77
22-04-2020,2272,95
23-04-2020,2407,103
24-04-2020,2624,112
25-04-2020,2815,127
26-04-2020,3071,133
27-04-2020,3301,151
28-04-2020,3548,162
29-04-2020,3774,181
30-04-2020,4082,197
01-05-2020,4395,214
02-05-2020,4721,236
03-05-2020,5055,262
04-05-2020,5428,290
05-05-2020,5804,319
06-05-2020,6245,368
07-05-2020,6625,396
08-05-2020,7012,425
09-05-2020,7402,449
10-05-2020,7796,472
11-05-2020,8194,493
12-05-2020,8541,513
13-05-2020,8903,537
14-05-2020,9267,566
15-05-2020,9591,586
16-05-2020,9931,606
17-05-2020,10988,625
18-05-2020,11379,659
19-05-2020,11745,694
20-05-2020,12140,719
21-05-2020,12537,749
22-05-2020,12905,773
23-05-2020,13268,802
24-05-2020,13664,829
25-05-2020,14056,858
26-05-2020,14460,888
27-05-2020,14821,915
28-05-2020,15195,938
29-05-2020,15562,960
30-05-2020,15934,980
31-05-2020,16343,1007
01-06-2020,16779,1038
02-06-2020,17200,1063
03-06-2020,17617,1092
04-06-2020,18100,1122
05-06-2020,18584,1155
06-06-2020,19094,1190
07-06-2020,19592,1219
08-06-2020,20070,1249
09-06-2020,20545,1280
10-06-2020,21014,1313
11-06-2020,21521,1347
12-06-2020,22032,1385
13-06-2020,22527,1415
14-06-2020,23038,1448
15-06-2020,23544,1477
16-06-2020,24055,1505
17-06-2020,24577,1533
18-06-2020,25093,1560
19-06-2020,25601,1591
20-06-2020,26141,1618
21-06-2020,26680,1638
22-06-2020,27260,1663
23-06-2020,27825,1684
24-06-2020,28371,1710
25-06-2020,28943,1735
26-06-2020,29520,1753
27-06-2020,30095,1771
28-06-2020,30709,1789
29-06-2020,31320,1808
30-06-2020,31938,1827
01-07-2020,32557,1846
02-07-2020,33232,1867
03-07-2020,33913,1886
04-07-2020,34600,1904
05-07-2020,35312,1925
06-07-2020,36037,1943
07-07-2020,36772,1960
08-07-2020,37550,1977
09-07-2020,38333,1993
10-07-2020,39194,2008
11-07-2020,40069,2022
12-07-2020,40941,2032
13-07-2020,41820,2045
14-07-2020,42722,2055
15-07-2020,43637,2069
16-07-2020,44552,2079
17-07-2020,45481,2089
18-07-2020,46430,2106
19-07-2020,47390,2122
20-07-2020,48355,2142
21-07-2020,49353,2162
22-07-2020,50379,2196
23-07-2020,51399,2224
24-07-2020,52477,2252
25-07-2020,53545,2278
26-07-2020,54626,2300
27-07-2020,55822,2326
28-07-2020,56874,2348
29-07-2020,57982,2372
30-07-2020,59126,2396
31-07-2020,60285,2418
01-08-2020,61438,2441
02-08-2020,62463,2464
03-08-2020,63562,2486
04-08-2020,64585,2508
05-08-2020,65599,2533
06-08-2020,66669,2556
07-08-2020,67699,2583
08-08-2020,68768,2605
09-08-2020,69869,2628
10-08-2020,70965,2652
11-08-2020,72031,2672
12-08-2020,73163,2695
13-08-2020,74318,2713
14-08-2020,75408,2731
15-08-2020,76480,2746
16-08-2020,77559,2765
17-08-2020,78680,2785
18-08-2020,79710,2800
19-08-2020,80802,2820
20-08-2020,81942,2837
21-08-2020,83107,2853
22-08-2020,84311,2867
23-08-2020,85523,2881
24-08-2020,86624,2895
25-08-2020,87691,2908
26-08-2020,88805,2928
27-08-2020,89994,2945
28-08-2020,91179,2962
29-08-2020,92452,2976
30-08-2020,93734,2989
31-08-2020,95009,3006
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
