Date,Cases,Deaths
01-04-2020,43,0
02-04-2020,43,0
03-04-2020,49,0
04-04-2020,49,0
05-04-2020,59,1
06-04-2020,84,1
07-04-2020,90,1
08-04-2020,147,3
09-04-2020,169,3
10-04-2020,169,3
11-04-2020,177,3
12-04-2020,185,3
13-04-2020,185,3
14-04-2020,199,3
15-04-2020,199,3
16-04-2020,205,3
17-04-2020,205,3
18-04-2020,225,3
19-04-2020,233,3
20-04-2020,233,3
21-04-2020,254,3
22-04-2020,254,3
23-04-2020,262,3
24-04-2020,272,3
25-04-2020,272,3
26-04-2020,289,3
27-04-2020,289,3
28-04-2020,296,3
29-04-2020,310,3
30-04-2020,310,3
01-05-2020,313,3
02-05-2020,360,4
03-05-2020,394,4
04-05-2020,442,5
05-05-2020,517,6
06-05-2020,548,6
07-05-2020,594,7
08-05-2020,625,7
09-05-2020,647,8
10-05-2020,675,9
11-05-2020,703,10
12-05-2020,730,11
13-05-2020,780,11
14-05-2020,793,11
15-05-2020,818,11
16-05-2020,818,11
17-05-2020,887,13
18-05-2020,910,14
19-05-2020,928,14
20-05-2020,964,14
21-05-2020,993,14
22-05-2020,1031,15
23-05-2020,1067,16
24-05-2020,1131,16
25-05-2020,1184,16
26-05-2020,1184,16
27-05-2020,1305,17
28-05-2020,1381,18
29-05-2020,1504,19
30-05-2020,1721,19
31-05-2020,1923,20
01-06-2020,2091,20
02-06-2020,2356,21
03-06-2020,2652,23
04-06-2020,2954,23
05-06-2020,3281,24
06-06-2020,3597,24
07-06-2020,3952,24
08-06-2020,4448,28
09-06-2020,4854,39
10-06-2020,5209,45
11-06-2020,5579,52
12-06-2020,5968,64
13-06-2020,6334,70
14-06-2020,6749,78
15-06-2020,7208,88
16-06-2020,7722,100
17-06-2020,8272,118
18-06-2020,8832,130
19-06-2020,9218,134
20-06-2020,9743,144
21-06-2020,10223,149
22-06-2020,10635,160
23-06-2020,11025,169
24-06-2020,11520,178
25-06-2020,12010,188
26-06-2020,12463,198
27-06-2020,12884,211
28-06-2020,13427,218
29-06-2020,13829,223
30-06-2020,14210,232
01-07-2020,14548,236
02-07-2020,14941,240
03-07-2020,15509,251
04-07-2020,16003,255
05-07-2020,16548,260
06-07-2020,17005,265
07-07-2020,17504,276
08-07-2020,17999,279
09-07-2020,18690,282
10-07-2020,19369,287
11-07-2020,19934,290
12-07-2020,20582,297
13-07-2020,21240,301
14-07-2020,21894,308
15-07-2020,22628,312
16-07-2020,23306,319
17-07-2020,24002,322
18-07-2020,24797,327
19-07-2020,25547,344
20-07-2020,26164,349
21-07-2020,26858,355
22-07-2020,27462,364
23-07-2020,28186,372
24-07-2020,28975,378
25-07-2020,29755,382
26-07-2020,30538,389
27-07-2020,31332,392
28-07-2020,32127,397
29-07-2020,32876,406
30-07-2020,33631,413
31-07-2020,34254,417
01-08-2020,34965,421
02-08-2020,35758,428
03-08-2020,36519,433
04-08-2020,37173,440
05-08-2020,37796,448
06-08-2020,38548,455
07-08-2020,39303,458
08-08-2020,40054,467
09-08-2020,40843,474
10-08-2020,41635,483
11-08-2020,42429,489
12-08-2020,43227,500
13-08-2020,44024,503
14-08-2020,44817,511
15-08-2020,45614,518
16-08-2020,46410,528
17-08-2020,47153,538
18-08-2020,48040,550
19-08-2020,48936,557
20-08-2020,49930,567
21-08-2020,50926,578
22-08-2020,52129,585
23-08-2020,53290,597
24-08-2020,54386,603
25-08-2020,55460,613
26-08-2020,56608,623
27-08-2020,58005,634
28-08-2020,59298,646
29-08-2020,60596,661
30-08-2020,61987,670
31-08-2020,63282,682
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
