Date,Cases,Deaths
01-04-2020,3,1
02-04-2020,3,1
03-04-2020,6,1
04-04-2020,6,1
05-04-2020,6,1
06-04-2020,13,1
07-04-2020,13,1
08-04-2020,18,1
09-04-2020,18,1
10-04-2020,28,1
11-04-2020,28,1
12-04-2020,32,1
13-04-2020,32,1
14-04-2020,32,1
15-04-2020,33,1
16-04-2020,35,1
17-04-2020,35,1
18-04-2020,38,1
19-04-2020,39,1
20-04-2020,39,1
21-04-2020,39,1
22-04-2020,39,1
23-04-2020,40,1
24-04-2020,40,1
25-04-2020,40,1
26-04-2020,40,1
27-04-2020,40,1
28-04-2020,40,1
29-04-2020,40,1
30-04-2020,40,1
01-05-2020,40,1
02-05-2020,40,1
03-05-2020,40,1
04-05-2020,40,1
05-05-2020,41,1
06-05-2020,42,2
07-05-2020,45,2
08-05-2020,46,2
09-05-2020,50,2
10-05-2020,50,2
11-05-2020,55,2
12-05-2020,59,2
13-05-2020,65,2
14-05-2020,66,2
15-05-2020,74,2
16-05-2020,76,3
17-05-2020,78,3
18-05-2020,80,3
19-05-2020,90,3
20-05-2020,92,3
21-05-2020,110,3
22-05-2020,152,3
23-05-2020,168,3
24-05-2020,185,3
25-05-2020,203,3
26-05-2020,223,5
27-05-2020,247,5
28-05-2020,273,5
29-05-2020,276,5
30-05-2020,295,5
31-05-2020,313,5
01-06-2020,331,5
02-06-2020,340,5
03-06-2020,345,5
04-06-2020,359,5
05-06-2020,383,5
06-06-2020,393,5
07-06-2020,400,5
08-06-2020,413,5
09-06-2020,421,5
10-06-2020,445,5
11-06-2020,451,6
12-06-2020,470,6
13-06-2020,486,6
14-06-2020,502,6
15-06-2020,518,7
16-06-2020,556,8
17-06-2020,560,8
18-06-2020,569,8
19-06-2020,595,8
20-06-2020,619,8
21-06-2020,656,8
22-06-2020,673,8
23-06-2020,727,8
24-06-2020,775,8
25-06-2020,806,8
26-06-2020,839,9
27-06-2020,864,9
28-06-2020,894,9
29-06-2020,916,9
30-06-2020,942,9
01-07-2020,953,10
02-07-2020,979,10
03-07-2020,1014,10
04-07-2020,1033,10
05-07-2020,1046,11
06-07-2020,1063,11
07-07-2020,1077,11
08-07-2020,1083,11
09-07-2020,1101,11
10-07-2020,1140,11
11-07-2020,1171,11
12-07-2020,1182,11
13-07-2020,1213,11
14-07-2020,1243,11
15-07-2020,1309,11
16-07-2020,1341,11
17-07-2020,1377,11
18-07-2020,1417,11
19-07-2020,1457,11
20-07-2020,1483,11
21-07-2020,1631,11
22-07-2020,1664,11
23-07-2020,1725,11
24-07-2020,1834,11
25-07-2020,1954,11
26-07-2020,2049,11
27-07-2020,2176,12
28-07-2020,2270,14
29-07-2020,2330,14
30-07-2020,2403,14
31-07-2020,2506,14
01-08-2020,2564,14
02-08-2020,2634,14
03-08-2020,2703,14
04-08-2020,2818,14
05-08-2020,2879,14
06-08-2020,2916,14
07-08-2020,3047,14
08-08-2020,3150,14
09-08-2020,3264,14
10-08-2020,3371,15
11-08-2020,3463,17
12-08-2020,3497,18
13-08-2020,3636,18
14-08-2020,3816,19
15-08-2020,3874,19
16-08-2020,3993,19
17-08-2020,4156,19
18-08-2020,4174,19
19-08-2020,4235,19
20-08-2020,4411,19
21-08-2020,4538,23
22-08-2020,4728,25
23-08-2020,4895,29
24-08-2020,5001,29
25-08-2020,5101,29
26-08-2020,5154,30
27-08-2020,5321,32
28-08-2020,5501,33
29-08-2020,5637,33
30-08-2020,5781,34
31-08-2020,5945,35
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
