Date,Cases,Deaths
01-04-2020,62,2
02-04-2020,62,2
03-04-2020,75,2
04-04-2020,75,2
05-04-2020,106,2
06-04-2020,109,2
07-04-2020,116,2
08-04-2020,116,2
09-04-2020,158,4
10-04-2020,184,4
11-04-2020,207,4
12-04-2020,224,4
13-04-2020,245,4
14-04-2020,270,4
15-04-2020,278,4
16-04-2020,300,4
17-04-2020,314,4
18-04-2020,328,5
19-04-2020,341,5
20-04-2020,350,5
21-04-2020,368,5
22-04-2020,380,5
23-04-2020,407,5
24-04-2020,427,5
25-04-2020,454,5
26-04-2020,494,6
27-04-2020,523,6
28-04-2020,546,7
29-04-2020,565,8
30-04-2020,581,8
01-05-2020,614,8
02-05-2020,639,8
03-05-2020,666,8
04-05-2020,701,8
05-05-2020,726,8
06-05-2020,741,8
07-05-2020,775,8
08-05-2020,793,9
09-05-2020,823,9
10-05-2020,836,9
11-05-2020,861,9
12-05-2020,879,10
13-05-2020,934,10
14-05-2020,971,11
15-05-2020,983,11
16-05-2020,1013,11
17-05-2020,1121,12
18-05-2020,1183,13
19-05-2020,1289,15
20-05-2020,1317,17
21-05-2020,1390,18
22-05-2020,1449,20
23-05-2020,1489,20
24-05-2020,1569,21
25-05-2020,1621,21
26-05-2020,1668,23
27-05-2020,1759,24
28-05-2020,1921,26
29-05-2020,2036,27
30-05-2020,2164,28
31-05-2020,2341,28
01-06-2020,2446,28
02-06-2020,2601,31
03-06-2020,2718,33
04-06-2020,2857,34
05-06-2020,3142,35
06-06-2020,3324,36
07-06-2020,3467,39
08-06-2020,4087,41
09-06-2020,4285,45
10-06-2020,4346,48
11-06-2020,4507,51
12-06-2020,4574,52
13-06-2020,4730,53
14-06-2020,4878,55
15-06-2020,5041,59
16-06-2020,5220,62
17-06-2020,5298,63
18-06-2020,5406,65
19-06-2020,5555,71
20-06-2020,5680,75
21-06-2020,5834,81
22-06-2020,5956,82
23-06-2020,6088,85
24-06-2020,6236,87
25-06-2020,6422,88
26-06-2020,6549,90
27-06-2020,6762,91
28-06-2020,6966,93
29-06-2020,7093,94
30-06-2020,7237,95
01-07-2020,7497,101
02-07-2020,7695,105
03-07-2020,7849,115
04-07-2020,8019,119
05-07-2020,8246,127
06-07-2020,8429,132
07-07-2020,8675,138
08-07-2020,8931,143
09-07-2020,9261,149
10-07-2020,9501,154
11-07-2020,9888,159
12-07-2020,10156,169
13-07-2020,10513,179
14-07-2020,10827,187
15-07-2020,11173,195
16-07-2020,11666,206
17-07-2020,12156,222
18-07-2020,12757,231
19-07-2020,13198,236
20-07-2020,13899,244
21-07-2020,14650,254
22-07-2020,15258,263
23-07-2020,15711,273
24-07-2020,16429,282
25-07-2020,16782,296
26-07-2020,17305,305
27-07-2020,17920,312
28-07-2020,18390,321
29-07-2020,18879,333
30-07-2020,19419,348
31-07-2020,19869,365
01-08-2020,20359,377
02-08-2020,20972,388
03-08-2020,21416,396
04-08-2020,22006,407
05-08-2020,22396,417
06-08-2020,22955,426
07-08-2020,23454,436
08-08-2020,23927,449
09-08-2020,24390,459
10-08-2020,24897,472
11-08-2020,25367,478
12-08-2020,25931,490
13-08-2020,26413,498
14-08-2020,26949,509
15-08-2020,27489,520
16-08-2020,28021,527
17-08-2020,28470,542
18-08-2020,28892,548
19-08-2020,29326,561
20-08-2020,30034,572
21-08-2020,30717,578
22-08-2020,31371,593
23-08-2020,31981,608
24-08-2020,32647,617
25-08-2020,33075,624
26-08-2020,33776,638
27-08-2020,34480,657
28-08-2020,35135,671
29-08-2020,35831,678
30-08-2020,36377,685
31-08-2020,37163,694
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
