Date,Cases,Deaths
01-04-2020,1,0
02-04-2020,1,0
03-04-2020,2,0
04-04-2020,2,0
05-04-2020,3,0
06-04-2020,4,0
07-04-2020,4,0
08-04-2020,4,0
09-04-2020,13,0
10-04-2020,13,1
11-04-2020,17,1
12-04-2020,17,1
13-04-2020,19,2
14-04-2020,24,2
15-04-2020,27,2
16-04-2020,28,2
17-04-2020,29,2
18-04-2020,33,2
19-04-2020,35,2
20-04-2020,42,2
21-04-2020,46,2
22-04-2020,45,3
23-04-2020,49,3
24-04-2020,55,3
25-04-2020,59,3
26-04-2020,67,3
27-04-2020,82,3
28-04-2020,103,3
29-04-2020,105,3
30-04-2020,107,3
01-05-2020,111,3
02-05-2020,111,3
03-05-2020,115,3
04-05-2020,115,3
05-05-2020,115,3
06-05-2020,125,3
07-05-2020,127,3
08-05-2020,132,3
09-05-2020,132,3
10-05-2020,156,3
11-05-2020,157,3
12-05-2020,160,3
13-05-2020,172,3
14-05-2020,173,3
15-05-2020,197,3
16-05-2020,203,3
17-05-2020,217,3
18-05-2020,223,3
19-05-2020,223,3
20-05-2020,231,3
21-05-2020,231,3
22-05-2020,290,3
23-05-2020,308,3
24-05-2020,350,4
25-05-2020,370,4
26-05-2020,377,4
27-05-2020,426,4
28-05-2020,448,4
29-05-2020,469,4
30-05-2020,511,5
31-05-2020,563,5
01-06-2020,610,5
02-06-2020,659,5
03-06-2020,712,5
04-06-2020,752,5
05-06-2020,793,6
06-06-2020,881,7
07-06-2020,1000,7
08-06-2020,1099,7
09-06-2020,1256,7
10-06-2020,1411,8
11-06-2020,1489,8
12-06-2020,1599,8
13-06-2020,1617,8
14-06-2020,1711,8
15-06-2020,1745,8
16-06-2020,1763,8
17-06-2020,1839,9
18-06-2020,1895,10
19-06-2020,1920,11
20-06-2020,1965,11
21-06-2020,1965,11
22-06-2020,2073,11
23-06-2020,2137,11
24-06-2020,2185,11
25-06-2020,2207,11
26-06-2020,2262,12
27-06-2020,2290,12
28-06-2020,2339,12
29-06-2020,2364,12
30-06-2020,2426,15
01-07-2020,2490,15
02-07-2020,2521,15
03-07-2020,2584,15
04-07-2020,2695,15
05-07-2020,2739,17
06-07-2020,2781,19
07-07-2020,2847,20
08-07-2020,2996,22
09-07-2020,3096,22
10-07-2020,3246,23
11-07-2020,3419,23
12-07-2020,3613,23
13-07-2020,3756,30
14-07-2020,3898,33
15-07-2020,4091,36
16-07-2020,4320,38
17-07-2020,4624,42
18-07-2020,4921,46
19-07-2020,5342,46
20-07-2020,5535,49
21-07-2020,5756,53
22-07-2020,6159,55
23-07-2020,6485,64
24-07-2020,6975,67
25-07-2020,7493,70
26-07-2020,7836,82
27-07-2020,8275,85
28-07-2020,8683,89
29-07-2020,9078,89
30-07-2020,9861,98
31-07-2020,10167,103
01-08-2020,10958,106
02-08-2020,11686,113
03-08-2020,12523,118
04-08-2020,13478,125
05-08-2020,13940,128
06-08-2020,14888,136
07-08-2020,15756,145
08-08-2020,16465,151
09-08-2020,17094,155
10-08-2020,18138,177
11-08-2020,18723,188
12-08-2020,19225,192
13-08-2020,19743,197
14-08-2020,20881,209
15-08-2020,21595,224
16-08-2020,22389,228
17-08-2020,23055,244
18-08-2020,23752,250
19-08-2020,24477,262
20-08-2020,26090,277
21-08-2020,26753,286
22-08-2020,28196,297
23-08-2020,28571,308
24-08-2020,29677,312
25-08-2020,31005,330
26-08-2020,31973,347
27-08-2020,33046,362
28-08-2020,34396,373
29-08-2020,35321,381
30-08-2020,36857,397
31-08-2020,38435,410
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
