Date,Cases,Deaths
01-04-2020,101,3
02-04-2020,110,3
03-04-2020,124,3
04-04-2020,128,3
05-04-2020,144,4
06-04-2020,151,4
07-04-2020,175,4
08-04-2020,175,4
09-04-2020,181,5
10-04-2020,197,6
11-04-2020,214,6
12-04-2020,226,6
13-04-2020,247,6
14-04-2020,258,9
15-04-2020,277,11
16-04-2020,315,13
17-04-2020,353,13
18-04-2020,371,13
19-04-2020,384,14
20-04-2020,395,16
21-04-2020,415,17
22-04-2020,425,17
23-04-2020,443,17
24-04-2020,463,18
25-04-2020,489,18
26-04-2020,501,18
27-04-2020,511,20
28-04-2020,520,20
29-04-2020,532,20
30-04-2020,557,21
01-05-2020,576,22
02-05-2020,589,22
03-05-2020,606,25
04-05-2020,642,26
05-05-2020,659,28
06-05-2020,671,29
07-05-2020,693,29
08-05-2020,705,30
09-05-2020,753,30
10-05-2020,794,30
11-05-2020,848,31
12-05-2020,862,31
13-05-2020,925,31
14-05-2020,959,33
15-05-2020,987,35
16-05-2020,1056,36
17-05-2020,1092,36
18-05-2020,1147,37
19-05-2020,1246,37
20-05-2020,1397,40
21-05-2020,1462,41
22-05-2020,1605,41
23-05-2020,1743,41
24-05-2020,1959,42
25-05-2020,2089,42
26-05-2020,2182,44
27-05-2020,2283,44
28-05-2020,2418,47
29-05-2020,2533,47
30-05-2020,2781,48
31-05-2020,2922,48
01-06-2020,3221,51
02-06-2020,3408,52
03-06-2020,3796,52
04-06-2020,4063,53
05-06-2020,4320,57
06-06-2020,4835,57
07-06-2020,5213,59
08-06-2020,5452,61
09-06-2020,5760,64
10-06-2020,5921,66
11-06-2020,6041,69
12-06-2020,6245,72
13-06-2020,6516,79
14-06-2020,6824,81
15-06-2020,7000,86
16-06-2020,7213,89
17-06-2020,7530,94
18-06-2020,7734,102
19-06-2020,7944,114
20-06-2020,8281,124
21-06-2020,8697,132
22-06-2020,9150,137
23-06-2020,9399,142
24-06-2020,9721,150
25-06-2020,10118,164
26-06-2020,10560,170
27-06-2020,11005,180
28-06-2020,11923,191
29-06-2020,13190,207
30-06-2020,14295,226
01-07-2020,15242,246
02-07-2020,16514,253
03-07-2020,18016,272
04-07-2020,19710,293
05-07-2020,21549,335
06-07-2020,23474,372
07-07-2020,25317,401
08-07-2020,26815,416
09-07-2020,28877,470
10-07-2020,31105,486
11-07-2020,33418,543
12-07-2020,36216,613
13-07-2020,38843,684
14-07-2020,41581,757
15-07-2020,44077,842
16-07-2020,47253,928
17-07-2020,51422,1032
18-07-2020,55115,1147
19-07-2020,59652,1240
20-07-2020,63772,1331
21-07-2020,67420,1403
22-07-2020,71069,1464
23-07-2020,75833,1519
24-07-2020,80863,1616
25-07-2020,85870,1724
26-07-2020,90942,1796
27-07-2020,96141,1878
28-07-2020,101465,1953
29-07-2020,107001,2055
30-07-2020,112504,2147
31-07-2020,118632,2230
01-08-2020,124115,2314
02-08-2020,129287,2412
03-08-2020,134819,2496
04-08-2020,139571,2594
05-08-2020,145830,2704
06-08-2020,151449,2804
07-08-2020,158254,2897
08-08-2020,164924,2998
09-08-2020,172102,3091
10-08-2020,178087,3198
11-08-2020,182354,3312
12-08-2020,188611,3398
13-08-2020,196494,3510
14-08-2020,203200,3613
15-08-2020,211108,3717
16-08-2020,219926,3831
17-08-2020,226966,3947
18-08-2020,233283,4062
19-08-2020,240948,4201
20-08-2020,249590,4327
21-08-2020,256975,4429
22-08-2020,264546,4522
23-08-2020,271876,4615
24-08-2020,277814,4683
25-08-2020,283665,4810
26-08-2020,291826,4958
27-08-2020,300406,5091
28-08-2020,309792,5232
29-08-2020,318752,5368
30-08-2020,327076,5483
31-08-2020,335928,5589
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
