Date,Cases,Deaths
01-04-2020,241,2
02-04-2020,265,2
03-04-2020,286,2
04-04-2020,295,2
05-04-2020,306,2
06-04-2020,314,2
07-04-2020,327,2
08-04-2020,336,2
09-04-2020,345,2
10-04-2020,357,2
11-04-2020,364,2
12-04-2020,374,2
13-04-2020,376,3
14-04-2020,379,3
15-04-2020,387,3
16-04-2020,388,3
17-04-2020,395,3
18-04-2020,396,3
19-04-2020,400,3
20-04-2020,402,3
21-04-2020,408,3
22-04-2020,427,3
23-04-2020,438,3
24-04-2020,448,3
25-04-2020,451,4
26-04-2020,458,4
27-04-2020,469,4
28-04-2020,482,4
29-04-2020,486,4
30-04-2020,496,4
01-05-2020,497,4
02-05-2020,497,4
03-05-2020,500,4
04-05-2020,500,4
05-05-2020,500,4
06-05-2020,502,4
07-05-2020,503,4
08-05-2020,503,4
09-05-2020,503,4
10-05-2020,505,4
11-05-2020,512,4
12-05-2020,519,4
13-05-2020,524,4
14-05-2020,534,4
15-05-2020,560,4
16-05-2020,576,4
17-05-2020,587,4
18-05-2020,601,4
19-05-2020,630,4
20-05-2020,642,4
21-05-2020,666,4
22-05-2020,690,4
23-05-2020,732,4
24-05-2020,795,4
25-05-2020,847,4
26-05-2020,896,5
27-05-2020,963,6
28-05-2020,1004,7
29-05-2020,1088,7
30-05-2020,1150,8
31-05-2020,1208,9
01-06-2020,1269,9
02-06-2020,1326,10
03-06-2020,1412,11
04-06-2020,1494,11
05-06-2020,1588,14
06-06-2020,1699,14
07-06-2020,1807,15
08-06-2020,1914,15
09-06-2020,2005,16
10-06-2020,2096,16
11-06-2020,2161,18
12-06-2020,2244,18
13-06-2020,2322,19
14-06-2020,2407,19
15-06-2020,2461,19
16-06-2020,2543,20
17-06-2020,2622,20
18-06-2020,2697,20
19-06-2020,2794,21
20-06-2020,2912,21
21-06-2020,3039,21
22-06-2020,3172,21
23-06-2020,3310,21
24-06-2020,3451,22
25-06-2020,3603,22
26-06-2020,3726,22
27-06-2020,3876,22
28-06-2020,4071,22
29-06-2020,4189,22
30-06-2020,4189,22
01-07-2020,4442,24
02-07-2020,4593,24
03-07-2020,4753,25
04-07-2020,4964,25
05-07-2020,5204,25
06-07-2020,5429,25
07-07-2020,5622,27
08-07-2020,5894,27
09-07-2020,6195,27
10-07-2020,6534,27
11-07-2020,6950,27
12-07-2020,7438,29
13-07-2020,7873,31
14-07-2020,8322,33
15-07-2020,8930,34
16-07-2020,9553,35
17-07-2020,10275,37
18-07-2020,11066,38
19-07-2020,11659,40
20-07-2020,12480,42
21-07-2020,13274,43
22-07-2020,13994,44
23-07-2020,15032,45
24-07-2020,16110,50
25-07-2020,16995,54
26-07-2020,18098,59
27-07-2020,19025,61
28-07-2020,19727,63
29-07-2020,20894,67
30-07-2020,21797,68
31-07-2020,22303,70
01-08-2020,23613,73
02-08-2020,24742,81
03-08-2020,25911,82
04-08-2020,26873,84
05-08-2020,27956,87
06-08-2020,29151,94
07-08-2020,30449,97
08-08-2020,31700,102
09-08-2020,33120,106
10-08-2020,34331,108
11-08-2020,35515,115
12-08-2020,36932,120
13-08-2020,38144,126
14-08-2020,39708,129
15-08-2020,41277,139
16-08-2020,42885,146
17-08-2020,44415,156
18-08-2020,46140,169
19-08-2020,47898,175
20-08-2020,50231,182
21-08-2020,52199,191
22-08-2020,54182,203
23-08-2020,56354,218
24-08-2020,58262,223
25-08-2020,59504,234
26-08-2020,61879,244
27-08-2020,64355,257
28-08-2020,66761,267
29-08-2020,69304,274
30-08-2020,71701,280
31-08-2020,73855,287
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
