Date,Cases,Deaths
01-04-2020,13,0
02-04-2020,13,0
03-04-2020,14,0
04-04-2020,14,0
05-04-2020,14,0
06-04-2020,14,0
07-04-2020,14,0
08-04-2020,14,0
09-04-2020,14,0
10-04-2020,15,0
11-04-2020,15,0
12-04-2020,15,0
13-04-2020,15,0
14-04-2020,15,0
15-04-2020,17,0
16-04-2020,17,0
17-04-2020,18,0
18-04-2020,18,0
19-04-2020,18,0
20-04-2020,18,0
21-04-2020,18,0
22-04-2020,18,0
23-04-2020,18,0
24-04-2020,18,0
25-04-2020,20,0
26-04-2020,20,0
27-04-2020,20,0
28-04-2020,22,0
29-04-2020,22,0
30-04-2020,22,0
01-05-2020,22,0
02-05-2020,22,0
03-05-2020,40,0
04-05-2020,41,0
05-05-2020,41,0
06-05-2020,41,0
07-05-2020,41,0
08-05-2020,42,0
09-05-2020,42,0
10-05-2020,42,0
11-05-2020,42,0
12-05-2020,42,0
13-05-2020,42,0
14-05-2020,43,0
15-05-2020,43,0
16-05-2020,43,0
17-05-2020,43,0
18-05-2020,43,0
19-05-2020,43,0
20-05-2020,43,0
21-05-2020,44,0
22-05-2020,44,0
23-05-2020,44,0
24-05-2020,49,0
25-05-2020,52,0
26-05-2020,52,0
27-05-2020,53,0
28-05-2020,53,0
29-05-2020,73,0
30-05-2020,74,0
31-05-2020,74,0
01-06-2020,74,0
02-06-2020,77,0
03-06-2020,81,1
04-06-2020,90,1
05-06-2020,90,1
06-06-2020,97,1
07-06-2020,99,1
08-06-2020,103,1
09-06-2020,103,1
10-06-2020,108,1
11-06-2020,115,1
12-06-2020,135,1
13-06-2020,239,1
14-06-2020,437,1
15-06-2020,549,1
16-06-2020,555,1
17-06-2020,649,1
18-06-2020,687,1
19-06-2020,687,1
20-06-2020,744,1
21-06-2020,836,1
22-06-2020,837,1
23-06-2020,847,1
24-06-2020,932,1
25-06-2020,941,1
26-06-2020,941,1
27-06-2020,946,1
28-06-2020,960,1
29-06-2020,963,1
30-06-2020,964,1
01-07-2020,973,1
02-07-2020,990,1
03-07-2020,990,1
04-07-2020,1001,1
05-07-2020,1005,1
06-07-2020,1005,1
07-07-2020,1005,1
08-07-2020,1041,1
09-07-2020,1041,1
10-07-2020,1055,1
11-07-2020,1064,1
12-07-2020,1077,1
13-07-2020,1086,1
14-07-2020,1093,1
15-07-2020,1093,1
16-07-2020,1142,1
17-07-2020,1147,1
18-07-2020,1151,1
19-07-2020,1159,1
20-07-2020,1178,2
21-07-2020,1195,2
22-07-2020,1198,2
23-07-2020,1206,2
24-07-2020,1210,2
25-07-2020,1246,2
26-07-2020,1276,3
27-07-2020,1285,4
28-07-2020,1306,4
29-07-2020,1327,6
30-07-2020,1347,6
31-07-2020,1378,7
01-08-2020,1404,7
02-08-2020,1462,7
03-08-2020,1466,7
04-08-2020,1485,7
05-08-2020,1534,7
06-08-2020,1592,7
07-08-2020,1595,7
08-08-2020,1614,9
09-08-2020,1639,9
10-08-2020,1688,9
11-08-2020,1717,9
12-08-2020,1770,9
13-08-2020,1811,9
14-08-2020,1849,9
15-08-2020,1879,9
16-08-2020,1909,10
17-08-2020,1948,14
18-08-2020,1966,14
19-08-2020,2010,17
20-08-2020,2048,18
21-08-2020,2077,18
22-08-2020,2133,19
23-08-2020,2210,21
24-08-2020,2279,23
25-08-2020,2330,23
26-08-2020,2420,24
27-08-2020,2451,25
28-08-2020,2492,27
29-08-2020,2540,28
30-08-2020,2603,32
31-08-2020,2638,34
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
