Date,Cases,Deaths
01-04-2020,66,3
02-04-2020,99,6
03-04-2020,104,6
04-04-2020,104,6
05-04-2020,165,9
06-04-2020,165,9
07-04-2020,229,13
08-04-2020,229,13
09-04-2020,259,16
10-04-2020,259,16
11-04-2020,443,33
12-04-2020,564,36
13-04-2020,604,43
14-04-2020,730,50
15-04-2020,987,53
16-04-2020,1120,53
17-04-2020,1308,57
18-04-2020,1355,69
19-04-2020,1407,70
20-04-2020,1485,74
21-04-2020,1540,76
22-04-2020,1592,80
23-04-2020,1695,81
24-04-2020,1852,83
25-04-2020,1952,92
26-04-2020,2096,99
27-04-2020,2168,106
28-04-2020,2368,113
29-04-2020,2561,119
30-04-2020,2660,130
01-05-2020,2719,137
02-05-2020,2719,145
03-05-2020,2846,156
04-05-2020,2942,165
05-05-2020,3049,176
06-05-2020,3049,176
07-05-2020,3138,185
08-05-2020,3252,193
09-05-2020,3341,200
10-05-2020,3614,215
11-05-2020,3614,215
12-05-2020,3785,221
13-05-2020,3986,225
14-05-2020,4173,232
15-05-2020,4426,237
16-05-2020,4595,239
17-05-2020,4789,243
18-05-2020,4977,248
19-05-2020,5236,252
20-05-2020,5465,258
21-05-2020,5735,267
22-05-2020,5981,270
23-05-2020,6170,272
24-05-2020,6371,281
25-05-2020,6665,290
26-05-2020,6859,300
27-05-2020,7024,305
28-05-2020,7261,313
29-05-2020,7453,321
30-05-2020,7645,334
31-05-2020,7891,343
01-06-2020,8089,350
02-06-2020,8283,358
03-06-2020,8420,364
04-06-2020,8588,371
05-06-2020,8762,377
06-06-2020,8996,384
07-06-2020,9228,399
08-06-2020,9401,412
09-06-2020,9638,414
10-06-2020,9849,420
11-06-2020,10049,427
12-06-2020,10241,431
13-06-2020,10443,440
14-06-2020,10641,447
15-06-2020,10802,459
16-06-2020,10935,465
17-06-2020,11083,476
18-06-2020,11244,482
19-06-2020,11426,486
20-06-2020,11582,495
21-06-2020,11724,501
22-06-2020,11903,515
23-06-2020,12078,521
24-06-2020,12261,525
25-06-2020,12448,534
26-06-2020,12596,542
27-06-2020,12798,546
28-06-2020,12965,550
29-06-2020,13186,557
30-06-2020,13370,564
01-07-2020,13593,572
02-07-2020,13861,581
03-07-2020,14106,589
04-07-2020,14297,593
05-07-2020,14604,598
06-07-2020,14930,608
07-07-2020,15284,617
08-07-2020,15627,622
09-07-2020,16036,629
10-07-2020,16341,634
11-07-2020,16657,638
12-07-2020,17201,644
13-07-2020,17632,653
14-07-2020,18207,663
15-07-2020,19005,673
16-07-2020,19643,682
17-07-2020,20378,689
18-07-2020,21081,697
19-07-2020,21763,706
20-07-2020,22600,721
21-07-2020,23310,738
22-07-2020,24095,756
23-07-2020,24842,770
24-07-2020,25474,780
25-07-2020,26210,791
26-07-2020,26926,799
27-07-2020,27800,811
28-07-2020,28589,820
29-07-2020,29217,830
30-07-2020,30134,843
31-07-2020,30968,857
01-08-2020,31806,867
02-08-2020,32614,876
03-08-2020,33535,886
04-08-2020,34285,900
05-08-2020,35082,912
06-08-2020,35734,929
07-08-2020,36564,946
08-08-2020,37298,962
09-08-2020,38157,977
10-08-2020,39025,996
11-08-2020,39891,1015
12-08-2020,40734,1033
13-08-2020,41604,1048
14-08-2020,42618,1065
15-08-2020,43414,1081
16-08-2020,44433,1094
17-08-2020,45455,1105
18-08-2020,46385,1128
19-08-2020,47375,1141
20-08-2020,48351,1159
21-08-2020,49493,1171
22-08-2020,50640,1185
23-08-2020,51866,1206
24-08-2020,53129,1229
25-08-2020,54421,1246
26-08-2020,55800,1265
27-08-2020,56864,1282
28-08-2020,58181,1306
29-08-2020,59433,1323
30-08-2020,60875,1345
31-08-2020,62433,1374
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
