Date,Cases,Deaths
01-04-2020,302,9
02-04-2020,335,13
03-04-2020,335,16
04-04-2020,490,24
05-04-2020,490,24
06-04-2020,748,45
07-04-2020,868,48
08-04-2020,1018,64
09-04-2020,1135,72
10-04-2020,1364,97
11-04-2020,1574,110
12-04-2020,1761,127
13-04-2020,1985,149
14-04-2020,2337,160
15-04-2020,2687,178
16-04-2020,2919,187
17-04-2020,3205,194
18-04-2020,3323,201
19-04-2020,3651,211
20-04-2020,4203,223
21-04-2020,4669,232
22-04-2020,5221,251
23-04-2020,5652,269
24-04-2020,6430,283
25-04-2020,6817,301
26-04-2020,7628,323
27-04-2020,8068,342
28-04-2020,8590,369
29-04-2020,9318,400
30-04-2020,9915,432
01-05-2020,10498,459
02-05-2020,11506,485
03-05-2020,12296,521
04-05-2020,12974,548
05-05-2020,14541,583
06-05-2020,15525,617
07-05-2020,16758,651
08-05-2020,17974,694
09-05-2020,19063,731
10-05-2020,20228,779
11-05-2020,22171,832
12-05-2020,23401,868
13-05-2020,24427,921
14-05-2020,25922,975
15-05-2020,27524,1019
16-05-2020,29100,1068
17-05-2020,30706,1135
18-05-2020,33053,1198
19-05-2020,35058,1249
20-05-2020,37136,1325
21-05-2020,39297,1390
22-05-2020,41642,1454
23-05-2020,44582,1517
24-05-2020,47190,1577
25-05-2020,50231,1635
26-05-2020,52667,1695
27-05-2020,54758,1792
28-05-2020,56948,1897
29-05-2020,59546,1982
30-05-2020,62228,2098
31-05-2020,65168,2197
01-06-2020,67655,2286
02-06-2020,70013,2362
03-06-2020,72300,2465
04-06-2020,74860,2587
05-06-2020,77793,2710
06-06-2020,80229,2849
07-06-2020,82968,2969
08-06-2020,85975,3060
09-06-2020,88528,3169
10-06-2020,90787,3289
11-06-2020,94041,3438
12-06-2020,97648,3590
13-06-2020,101141,3717
14-06-2020,104568,3830
15-06-2020,107958,3950
16-06-2020,110744,4128
17-06-2020,113445,5537
18-06-2020,116752,5651
19-06-2020,120504,5751
20-06-2020,124331,5893
21-06-2020,128205,5984
22-06-2020,132075,6170
23-06-2020,135796,6283
24-06-2020,139010,6531
25-06-2020,142900,6739
26-06-2020,147741,6931
27-06-2020,152765,7106
28-06-2020,159133,7273
29-06-2020,164626,7429
30-06-2020,169883,7610
01-07-2020,174761,7855
02-07-2020,180298,8053
03-07-2020,186626,8178
04-07-2020,192990,8376
05-07-2020,200064,8671
06-07-2020,206619,8822
07-07-2020,211987,9026
08-07-2020,217121,9250
09-07-2020,223724,9448
10-07-2020,230599,9667
11-07-2020,238461,9893
12-07-2020,246600,10116
13-07-2020,254427,10289
14-07-2020,260924,10482
15-07-2020,267665,10695
16-07-2020,275640,10928
17-07-2020,284281,11194
18-07-2020,292589,11452
19-07-2020,300937,11596
20-07-2020,310455,11854
21-07-2020,318695,12030
22-07-2020,327031,12276
23-07-2020,337607,12556
24-07-2020,347502,12854
25-07-2020,357117,13132
26-07-2020,366368,13389
27-07-2020,375799,13656
28-07-2020,383723,13883
29-07-2020,391440,14165
30-07-2020,400651,14463
31-07-2020,411798,14729
01-08-2020,422118,14994
02-08-2020,431719,15316
03-08-2020,441228,15576
04-08-2020,450196,15842
05-08-2020,457956,16142
06-08-2020,468265,16476
07-08-2020,479779,16792
08-08-2020,490262,17092
09-08-2020,503084,17367
10-08-2020,515332,17757
11-08-2020,524513,18050
12-08-2020,535601,18306
13-08-2020,548313,18650
14-08-2020,560126,19063
15-08-2020,572734,19427
16-08-2020,584754,19749
17-08-2020,595865,20037
18-08-2020,604358,20265
19-08-2020,615477,20687
20-08-2020,628642,21033
21-08-2020,643289,21359
22-08-2020,657450,21698
23-08-2020,671942,21995
24-08-2020,682383,22253
25-08-2020,693398,22465
26-08-2020,703823,22794
27-08-2020,718711,23089
28-08-2020,733568,23444
29-08-2020,747995,23775
30-08-2020,764281,24103
31-08-2020,780689,24399
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
