Date,Cases,Deaths
01-04-2020,1,0
02-04-2020,1,0
03-04-2020,2,0
04-04-2020,2,0
05-04-2020,2,0
06-04-2020,2,0
07-04-2020,2,0
08-04-2020,2,0
09-04-2020,2,0
10-04-2020,2,0
11-04-2020,2,0
12-04-2020,2,0
13-04-2020,2,0
14-04-2020,2,0
15-04-2020,2,0
16-04-2020,2,0
17-04-2020,2,0
18-04-2020,2,0
19-04-2020,2,0
20-04-2020,2,0
21-04-2020,2,0
22-04-2020,2,0
23-04-2020,2,0
24-04-2020,2,0
25-04-2020,2,0
26-04-2020,2,0
27-04-2020,2,0
28-04-2020,2,0
29-04-2020,2,0
30-04-2020,2,0
01-05-2020,2,0
02-05-2020,2,0
03-05-2020,2,0
04-05-2020,2,0
05-05-2020,2,0
06-05-2020,2,0
07-05-2020,2,0
08-05-2020,2,0
09-05-2020,2,0
10-05-2020,2,0
11-05-2020,2,0
12-05-2020,2,0
13-05-2020,2,0
14-05-2020,2,0
15-05-2020,3,0
16-05-2020,3,0
17-05-2020,7,0
18-05-2020,7,0
19-05-2020,7,0
20-05-2020,9,0
21-05-2020,25,0
22-05-2020,25,0
23-05-2020,26,0
24-05-2020,29,0
25-05-2020,32,0
26-05-2020,39,0
27-05-2020,39,0
28-05-2020,44,0
29-05-2020,55,0
30-05-2020,59,0
31-05-2020,62,0
01-06-2020,71,0
02-06-2020,83,0
03-06-2020,89,0
04-06-2020,118,0
05-06-2020,124,0
06-06-2020,132,0
07-06-2020,157,0
08-06-2020,172,0
09-06-2020,272,0
10-06-2020,304,0
11-06-2020,311,0
12-06-2020,366,0
13-06-2020,385,0
14-06-2020,449,0
15-06-2020,458,0
16-06-2020,490,0
17-06-2020,500,0
18-06-2020,552,0
19-06-2020,606,0
20-06-2020,681,0
21-06-2020,777,0
22-06-2020,841,0
23-06-2020,898,0
24-06-2020,921,0
25-06-2020,970,0
26-06-2020,1056,0
27-06-2020,1075,0
28-06-2020,1092,0
29-06-2020,1185,0
30-06-2020,1227,0
01-07-2020,1234,0
02-07-2020,1260,0
03-07-2020,1279,0
04-07-2020,1316,0
05-07-2020,1325,0
06-07-2020,1366,0
07-07-2020,1390,0
08-07-2020,1430,0
09-07-2020,1435,0
10-07-2020,1450,0
11-07-2020,1582,0
12-07-2020,1593,0
13-07-2020,1609,0
14-07-2020,1626,0
15-07-2020,1672,0
16-07-2020,1700,0
17-07-2020,1764,0
18-07-2020,1800,0
19-07-2020,1891,0
20-07-2020,1911,0
21-07-2020,1925,0
22-07-2020,2015,0
23-07-2020,2060,0
24-07-2020,2115,0
25-07-2020,2146,0
26-07-2020,2176,0
27-07-2020,2235,0
28-07-2020,2286,0
29-07-2020,2317,0
30-07-2020,2458,0
31-07-2020,2505,4
01-08-2020,2621,5
02-08-2020,2756,6
03-08-2020,2831,7
04-08-2020,2920,7
05-08-2020,3018,7
06-08-2020,3093,7
07-08-2020,3217,8
08-08-2020,3466,10
09-08-2020,3635,11
10-08-2020,3753,11
11-08-2020,3853,11
12-08-2020,3941,12
13-08-2020,3982,12
14-08-2020,4112,13
15-08-2020,4198,13
16-08-2020,4390,13
17-08-2020,4569,16
18-08-2020,4687,17
19-08-2020,4765,18
20-08-2020,4876,18
21-08-2020,4925,18
22-08-2020,5049,20
23-08-2020,5132,22
24-08-2020,5246,22
25-08-2020,5362,22
26-08-2020,5444,24
27-08-2020,5585,25
28-08-2020,5725,25
29-08-2020,5843,27
30-08-2020,5960,28
31-08-2020,6112,28
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
