Date,Cases,Deaths
01-04-2020,,
02-04-2020,,
03-04-2020,,
04-04-2020,,
05-04-2020,,
06-04-2020,,
07-04-2020,,
08-04-2020,,
09-04-2020,,
10-04-2020,,
11-04-2020,,
12-04-2020,,
13-04-2020,,
14-04-2020,1,0
15-04-2020,7,1
16-04-2020,7,1
17-04-2020,9,1
18-04-2020,11,1
19-04-2020,11,1
20-04-2020,11,1
21-04-2020,11,1
22-04-2020,12,1
23-04-2020,12,1
24-04-2020,12,1
25-04-2020,12,1
26-04-2020,12,1
27-04-2020,12,1
28-04-2020,12,1
29-04-2020,12,1
30-04-2020,12,1
01-05-2020,12,1
02-05-2020,12,1
03-05-2020,12,1
04-05-2020,12,1
05-05-2020,12,1
06-05-2020,12,1
07-05-2020,12,1
08-05-2020,12,1
09-05-2020,12,1
10-05-2020,13,1
11-05-2020,13,1
12-05-2020,13,1
13-05-2020,13,1
14-05-2020,13,1
15-05-2020,13,1
16-05-2020,13,1
17-05-2020,13,1
18-05-2020,13,1
19-05-2020,13,1
20-05-2020,13,1
21-05-2020,14,1
22-05-2020,14,1
23-05-2020,14,1
24-05-2020,14,1
25-05-2020,14,1
26-05-2020,14,1
27-05-2020,15,1
28-05-2020,20,1
29-05-2020,21,1
30-05-2020,27,1
31-05-2020,27,1
01-06-2020,27,1
02-06-2020,27,1
03-06-2020,27,1
04-06-2020,33,1
05-06-2020,33,1
06-06-2020,33,1
07-06-2020,33,1
08-06-2020,36,1
09-06-2020,36,1
10-06-2020,43,1
11-06-2020,44,1
12-06-2020,44,1
13-06-2020,44,1
14-06-2020,44,1
15-06-2020,44,1
16-06-2020,44,1
17-06-2020,44,1
18-06-2020,44,1
19-06-2020,44,1
20-06-2020,44,1
21-06-2020,44,1
22-06-2020,44,1
23-06-2020,44,1
24-06-2020,46,1
25-06-2020,46,1
26-06-2020,46,1
27-06-2020,47,1
28-06-2020,47,1
29-06-2020,47,1
30-06-2020,47,1
01-07-2020,52,1
02-07-2020,52,1
03-07-2020,56,1
04-07-2020,62,1
05-07-2020,62,1
06-07-2020,62,1
07-07-2020,80,1
08-07-2020,80,1
09-07-2020,80,1
10-07-2020,113,2
11-07-2020,207,2
12-07-2020,207,2
13-07-2020,306,2
14-07-2020,318,2
15-07-2020,318,2
16-07-2020,346,2
17-07-2020,377,2
18-07-2020,403,2
19-07-2020,418,2
20-07-2020,450,2
21-07-2020,466,4
22-07-2020,490,4
23-07-2020,514,4
24-07-2020,534,4
25-07-2020,588,5
26-07-2020,646,5
27-07-2020,702,5
28-07-2020,738,5
29-07-2020,779,5
30-07-2020,784,5
31-07-2020,803,5
01-08-2020,823,5
02-08-2020,856,5
03-08-2020,874,5
04-08-2020,902,5
05-08-2020,917,5
06-08-2020,929,5
07-08-2020,990,5
08-08-2020,1006,5
09-08-2020,1023,6
10-08-2020,1062,6
11-08-2020,1114,6
12-08-2020,1136,6
13-08-2020,1179,6
14-08-2020,1193,6
15-08-2020,1228,6
16-08-2020,1292,6
17-08-2020,1374,6
18-08-2020,1418,6
19-08-2020,1457,6
20-08-2020,1506,6
21-08-2020,1661,6
22-08-2020,1718,6
23-08-2020,1811,7
24-08-2020,1917,8
25-08-2020,1976,8
26-08-2020,2018,8
27-08-2020,2050,8
28-08-2020,2129,8
29-08-2020,2240,10
30-08-2020,2283,10
31-08-2020,2343,10
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
