Date,Cases,Deaths
01-04-2020,1,0
02-04-2020,1,0
03-04-2020,1,0
04-04-2020,1,0
05-04-2020,1,0
06-04-2020,1,0
07-04-2020,1,0
08-04-2020,1,0
09-04-2020,1,0
10-04-2020,1,0
11-04-2020,1,0
12-04-2020,1,0
13-04-2020,1,0
14-04-2020,1,0
15-04-2020,1,0
16-04-2020,1,0
17-04-2020,1,0
18-04-2020,1,0
19-04-2020,1,0
20-04-2020,1,0
21-04-2020,1,0
22-04-2020,1,0
23-04-2020,1,0
24-04-2020,1,0
25-04-2020,1,0
26-04-2020,1,0
27-04-2020,1,0
28-04-2020,1,0
29-04-2020,1,0
30-04-2020,1,0
01-05-2020,1,0
02-05-2020,1,0
03-05-2020,1,0
04-05-2020,1,0
05-05-2020,1,0
06-05-2020,1,0
07-05-2020,1,0
08-05-2020,1,0
09-05-2020,1,0
10-05-2020,1,0
11-05-2020,1,0
12-05-2020,1,0
13-05-2020,1,0
14-05-2020,1,0
15-05-2020,1,0
16-05-2020,1,0
17-05-2020,1,0
18-05-2020,1,0
19-05-2020,1,0
20-05-2020,1,0
21-05-2020,1,0
22-05-2020,1,0
23-05-2020,1,0
24-05-2020,1,0
25-05-2020,1,0
26-05-2020,1,0
27-05-2020,1,0
28-05-2020,1,0
29-05-2020,1,0
30-05-2020,1,0
31-05-2020,1,0
01-06-2020,1,0
02-06-2020,1,0
03-06-2020,13,0
04-06-2020,14,0
05-06-2020,17,0
06-06-2020,22,0
07-06-2020,24,0
08-06-2020,34,0
09-06-2020,42,0
10-06-2020,88,0
11-06-2020,93,0
12-06-2020,102,0
13-06-2020,104,0
14-06-2020,107,0
15-06-2020,112,0
16-06-2020,117,0
17-06-2020,121,0
18-06-2020,121,0
19-06-2020,130,0
20-06-2020,130,0
21-06-2020,140,0
22-06-2020,141,0
23-06-2020,141,0
24-06-2020,142,0
25-06-2020,142,0
26-06-2020,145,0
27-06-2020,145,0
28-06-2020,148,0
29-06-2020,148,0
30-06-2020,148,0
01-07-2020,160,0
02-07-2020,160,0
03-07-2020,162,0
04-07-2020,162,0
05-07-2020,164,0
06-07-2020,186,0
07-07-2020,197,0
08-07-2020,197,0
09-07-2020,197,0
10-07-2020,197,0
11-07-2020,226,0
12-07-2020,227,0
13-07-2020,231,0
14-07-2020,233,0
15-07-2020,238,0
16-07-2020,238,0
17-07-2020,272,0
18-07-2020,282,0
19-07-2020,284,0
20-07-2020,284,0
21-07-2020,297,0
22-07-2020,317,0
23-07-2020,317,0
24-07-2020,332,0
25-07-2020,361,0
26-07-2020,361,0
27-07-2020,361,0
28-07-2020,384,0
29-07-2020,384,0
30-07-2020,398,0
31-07-2020,408,0
01-08-2020,412,0
02-08-2020,468,0
03-08-2020,482,0
04-08-2020,501,0
05-08-2020,504,0
06-08-2020,537,0
07-08-2020,539,0
08-08-2020,566,0
09-08-2020,593,0
10-08-2020,620,0
11-08-2020,623,0
12-08-2020,648,0
13-08-2020,649,0
14-08-2020,649,0
15-08-2020,657,0
16-08-2020,777,0
17-08-2020,789,0
18-08-2020,789,0
19-08-2020,860,0
20-08-2020,873,0
21-08-2020,895,0
22-08-2020,903,0
23-08-2020,917,0
24-08-2020,918,0
25-08-2020,953,0
26-08-2020,967,0
27-08-2020,967,0
28-08-2020,974,0
29-08-2020,1003,0
30-08-2020,1008,0
31-08-2020,1011,0
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
