Date,Cases,Deaths
01-04-2020,,
02-04-2020,,
03-04-2020,,
04-04-2020,,
05-04-2020,,
06-04-2020,,
07-04-2020,,
08-04-2020,,
09-04-2020,,
10-04-2020,,
11-04-2020,,
12-04-2020,,
13-04-2020,1,0
14-04-2020,1,0
15-04-2020,0,0
16-04-2020,0,0
17-04-2020,0,0
18-04-2020,0,0
19-04-2020,0,0
20-04-2020,0,0
21-04-2020,0,0
26-05-2020,3,0
27-05-2020,4,0
28-05-2020,4,0
29-05-2020,18,0
30-05-2020,25,0
31-05-2020,36,0
01-06-2020,43,0
02-06-2020,43,0
03-06-2020,49,0
04-06-2020,58,0
05-06-2020,80,0
06-06-2020,94,0
07-06-2020,107,0
08-06-2020,118,0
09-06-2020,123,0
10-06-2020,127,0
11-06-2020,128,0
12-06-2020,128,0
13-06-2020,156,0
14-06-2020,163,0
15-06-2020,168,0
16-06-2020,177,0
17-06-2020,179,0
18-06-2020,193,0
19-06-2020,193,0
20-06-2020,198,0
21-06-2020,201,0
22-06-2020,211,0
23-06-2020,280,0
24-06-2020,330,0
25-06-2020,347,0
26-06-2020,355,0
27-06-2020,371,0
28-06-2020,387,0
29-06-2020,415,0
30-06-2020,434,0
01-07-2020,459,0
02-07-2020,459,0
03-07-2020,501,0
04-07-2020,539,0
05-07-2020,563,0
06-07-2020,590,0
07-07-2020,625,0
08-07-2020,625,0
09-07-2020,657,0
10-07-2020,673,0
11-07-2020,732,0
12-07-2020,748,0
13-07-2020,774,0
14-07-2020,845,0
15-07-2020,896,0
16-07-2020,902,0
17-07-2020,916,0
18-07-2020,956,0
19-07-2020,978,0
20-07-2020,988,0
21-07-2020,1021,0
22-07-2020,1030,0
23-07-2020,1084,0
24-07-2020,1174,0
25-07-2020,1239,1
26-07-2020,1289,4
27-07-2020,1339,4
28-07-2020,1385,5
29-07-2020,1460,5
30-07-2020,1513,5
31-07-2020,1566,5
01-08-2020,1693,5
02-08-2020,1831,5
03-08-2020,1935,5
04-08-2020,2129,5
05-08-2020,2405,5
06-08-2020,2498,6
07-08-2020,2580,6
08-08-2020,2657,7
09-08-2020,2688,7
10-08-2020,2781,8
11-08-2020,3011,8
12-08-2020,3031,8
13-08-2020,3118,8
14-08-2020,3168,8
15-08-2020,3322,8
16-08-2020,3340,8
17-08-2020,3394,8
18-08-2020,3455,8
19-08-2020,3520,8
20-08-2020,3558,8
21-08-2020,3583,8
22-08-2020,3619,8
23-08-2020,3635,9
24-08-2020,3686,9
25-08-2020,3714,9
26-08-2020,3752,9
27-08-2020,3778,9
28-08-2020,3784,9
29-08-2020,3805,9
30-08-2020,3851,9
31-08-2020,3922,9
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
