Date,Cases,Deaths
01-04-2020,4,0
02-04-2020,4,0
03-04-2020,5,0
04-04-2020,5,0
05-04-2020,20,0
06-04-2020,21,0
07-04-2020,42,1
08-04-2020,42,1
09-04-2020,42,1
10-04-2020,44,1
11-04-2020,48,1
12-04-2020,54,1
13-04-2020,54,1
14-04-2020,55,1
15-04-2020,60,1
16-04-2020,60,1
17-04-2020,60,1
18-04-2020,60,1
19-04-2020,61,1
20-04-2020,68,1
21-04-2020,74,1
22-04-2020,82,1
23-04-2020,83,1
24-04-2020,90,1
25-04-2020,94,1
26-04-2020,103,1
27-04-2020,108,1
28-04-2020,118,1
29-04-2020,119,1
30-04-2020,128,1
01-05-2020,143,1
02-05-2020,149,1
03-05-2020,160,1
04-05-2020,163,1
05-05-2020,170,1
06-05-2020,175,1
07-05-2020,185,2
08-05-2020,219,2
09-05-2020,271,2
10-05-2020,294,2
11-05-2020,377,3
12-05-2020,414,3
13-05-2020,437,3
14-05-2020,538,3
15-05-2020,611,3
16-05-2020,672,3
17-05-2020,737,3
18-05-2020,828,4
19-05-2020,876,4
20-05-2020,978,5
21-05-2020,1052,6
22-05-2020,1103,7
23-05-2020,1189,7
24-05-2020,1269,7
25-05-2020,1336,7
26-05-2020,1438,7
27-05-2020,1517,7
28-05-2020,1593,7
29-05-2020,1660,7
30-05-2020,1723,7
31-05-2020,1819,7
01-06-2020,1948,7
02-06-2020,2104,7
03-06-2020,2245,7
04-06-2020,2388,7
05-06-2020,2478,7
06-06-2020,2608,8
07-06-2020,2781,8
08-06-2020,2856,9
09-06-2020,2994,9
10-06-2020,3140,9
11-06-2020,3250,9
12-06-2020,3386,9
13-06-2020,3498,10
14-06-2020,3723,10
15-06-2020,3909,11
16-06-2020,4055,11
17-06-2020,4163,11
18-06-2020,4338,11
19-06-2020,4512,11
20-06-2020,4677,11
21-06-2020,4856,12
22-06-2020,5160,14
23-06-2020,5303,15
24-06-2020,5470,17
25-06-2020,5752,17
26-06-2020,5962,17
27-06-2020,6180,17
28-06-2020,6350,18
29-06-2020,6614,21
30-06-2020,6859,23
01-07-2020,7065,25
02-07-2020,7316,25
03-07-2020,7545,27
04-07-2020,8106,29
05-07-2020,8601,34
06-07-2020,9070,36
07-07-2020,9526,38
08-07-2020,10097,42
09-07-2020,10624,48
10-07-2020,11201,52
11-07-2020,11956,56
12-07-2020,12526,61
13-07-2020,13121,64
14-07-2020,13737,70
15-07-2020,14280,74
16-07-2020,14898,77
17-07-2020,15392,79
18-07-2020,16110,83
19-07-2020,16701,86
20-07-2020,17437,91
21-07-2020,18110,97
22-07-2020,18757,103
23-07-2020,19835,108
24-07-2020,21099,114
25-07-2020,22693,120
26-07-2020,24013,130
27-07-2020,25389,140
28-07-2020,26892,147
29-07-2020,28107,154
30-07-2020,29175,159
31-07-2020,30378,169
01-08-2020,31877,177
02-08-2020,33479,187
03-08-2020,34913,197
04-08-2020,36297,207
05-08-2020,37681,216
06-08-2020,39018,225
07-08-2020,40717,235
08-08-2020,42550,247
09-08-2020,44193,259
10-08-2020,45927,272
11-08-2020,47455,286
12-08-2020,48796,296
13-08-2020,50672,305
14-08-2020,52653,314
15-08-2020,54630,324
16-08-2020,57126,333
17-08-2020,60050,343
18-08-2020,62294,353
19-08-2020,64533,362
20-08-2020,67122,372
21-08-2020,70020,380
22-08-2020,72718,390
23-08-2020,75537,399
24-08-2020,78530,409
25-08-2020,81479,419
26-08-2020,84231,428
27-08-2020,87602,441
28-08-2020,90986,448
29-08-2020,94668,456
30-08-2020,97920,470
31-08-2020,100934,482
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
