Date,Cases,Deaths
01-04-2020,3,0
02-04-2020,3,0
03-04-2020,5,0
04-04-2020,5,0
05-04-2020,5,0
06-04-2020,5,0
07-04-2020,5,0
08-04-2020,5,0
09-04-2020,5,0
10-04-2020,5,0
11-04-2020,7,0
12-04-2020,7,0
13-04-2020,7,0
14-04-2020,7,0
15-04-2020,7,0
16-04-2020,7,0
17-04-2020,7,0
18-04-2020,7,0
19-04-2020,7,0
20-04-2020,7,0
21-04-2020,7,0
22-04-2020,7,0
23-04-2020,7,0
24-04-2020,7,0
25-04-2020,7,0
26-04-2020,7,0
27-04-2020,8,0
28-04-2020,8,0
29-04-2020,8,0
30-04-2020,8,0
01-05-2020,8,0
02-05-2020,8,0
03-05-2020,8,0
04-05-2020,8,0
05-05-2020,9,0
06-05-2020,9,0
07-05-2020,9,0
08-05-2020,9,0
09-05-2020,9,0
10-05-2020,9,0
11-05-2020,9,0
12-05-2020,12,0
13-05-2020,13,1
14-05-2020,13,1
15-05-2020,13,1
16-05-2020,13,1
17-05-2020,13,1
18-05-2020,13,1
19-05-2020,18,1
20-05-2020,18,1
21-05-2020,18,0
22-05-2020,20,0
23-05-2020,26,0
24-05-2020,26,0
25-05-2020,41,0
26-05-2020,41,0
27-05-2020,46,0
28-05-2020,46,0
29-05-2020,51,0
30-05-2020,51,0
31-05-2020,51,0
01-06-2020,70,0
02-06-2020,74,0
03-06-2020,82,0
04-06-2020,82,0
05-06-2020,82,0
06-06-2020,99,0
07-06-2020,99,0
08-06-2020,99,0
09-06-2020,127,0
10-06-2020,127,0
11-06-2020,127,0
12-06-2020,157,2
13-06-2020,157,2
14-06-2020,176,2
15-06-2020,194,5
16-06-2020,202,5
17-06-2020,216,6
18-06-2020,245,7
19-06-2020,271,7
20-06-2020,286,7
21-06-2020,286,7
22-06-2020,366,8
23-06-2020,383,8
24-06-2020,402,9
25-06-2020,461,9
26-06-2020,502,9
27-06-2020,502,9
28-06-2020,619,10
29-06-2020,619,10
30-06-2020,619,10
01-07-2020,714,12
02-07-2020,714,12
03-07-2020,802,12
04-07-2020,802,12
05-07-2020,802,12
06-07-2020,802,12
07-07-2020,802,12
08-07-2020,930,14
09-07-2020,1008,14
10-07-2020,1151,14
11-07-2020,1272,17
12-07-2020,1337,18
13-07-2020,1418,18
14-07-2020,1468,18
15-07-2020,1531,18
16-07-2020,1596,21
17-07-2020,1743,22
18-07-2020,1832,25
19-07-2020,1894,28
20-07-2020,1999,28
21-07-2020,2092,29
22-07-2020,2179,30
23-07-2020,2300,31
24-07-2020,2420,34
25-07-2020,2515,35
26-07-2020,2654,38
27-07-2020,2786,40
28-07-2020,2872,43
29-07-2020,3011,47
30-07-2020,3177,47
31-07-2020,3298,48
01-08-2020,3472,49
02-08-2020,3606,51
03-08-2020,3806,52
04-08-2020,3982,56
05-08-2020,4147,58
06-08-2020,4433,65
07-08-2020,4621,70
08-08-2020,4862,75
09-08-2020,5123,80
10-08-2020,5382,87
11-08-2020,5624,89
12-08-2020,5900,91
13-08-2020,6381,96
14-08-2020,6680,102
15-08-2020,6995,106
16-08-2020,7354,106
17-08-2020,7732,110
18-08-2020,8029,114
19-08-2020,8396,123
20-08-2020,8750,129
21-08-2020,9292,137
22-08-2020,9594,143
23-08-2020,10112,151
24-08-2020,10522,159
25-08-2020,10859,164
26-08-2020,11426,172
27-08-2020,11930,180
28-08-2020,12434,190
29-08-2020,13024,199
30-08-2020,13556,211
31-08-2020,14127,221
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
