Date,Cases,Deaths
01-04-2020,42,3
02-04-2020,46,4
03-04-2020,48,5
04-04-2020,57,5
05-04-2020,57,5
06-04-2020,76,6
07-04-2020,91,7
08-04-2020,91,7
09-04-2020,101,8
10-04-2020,132,11
11-04-2020,132,11
12-04-2020,151,11
13-04-2020,167,11
14-04-2020,176,12
15-04-2020,186,13
16-04-2020,186,13
17-04-2020,186,13
18-04-2020,202,13
19-04-2020,219,16
20-04-2020,219,16
21-04-2020,245,16
22-04-2020,251,16
23-04-2020,277,16
24-04-2020,277,16
25-04-2020,298,17
26-04-2020,298,17
27-04-2020,313,18
28-04-2020,313,18
29-04-2020,322,19
30-04-2020,357,19
01-05-2020,357,19
02-05-2020,480,19
03-05-2020,772,20
04-05-2020,1102,21
05-05-2020,1233,23
06-05-2020,1451,25
07-05-2020,1516,27
08-05-2020,1644,28
09-05-2020,1731,29
10-05-2020,1762,31
11-05-2020,1823,31
12-05-2020,1877,31
13-05-2020,1914,32
14-05-2020,1924,32
15-05-2020,1935,32
16-05-2020,1935,32
17-05-2020,1946,32
18-05-2020,1964,35
19-05-2020,1980,37
20-05-2020,2002,38
21-05-2020,2005,38
22-05-2020,2028,39
23-05-2020,2029,39
24-05-2020,2045,39
25-05-2020,2060,40
26-05-2020,2060,40
27-05-2020,2106,40
28-05-2020,2139,40
29-05-2020,2158,40
30-05-2020,2197,42
31-05-2020,2233,44
01-06-2020,2263,45
02-06-2020,2301,45
03-06-2020,2342,46
04-06-2020,2376,47
05-06-2020,2415,47
06-06-2020,2461,48
07-06-2020,2515,50
08-06-2020,2608,51
09-06-2020,2663,53
10-06-2020,2719,55
11-06-2020,2805,55
12-06-2020,2887,59
13-06-2020,2986,63
14-06-2020,3063,65
15-06-2020,3140,67
16-06-2020,3267,71
17-06-2020,3371,72
18-06-2020,3497,78
19-06-2020,3615,83
20-06-2020,3832,92
21-06-2020,3952,98
22-06-2020,4074,99
23-06-2020,4235,101
24-06-2020,4397,105
25-06-2020,4627,113
26-06-2020,4769,120
27-06-2020,4957,122
28-06-2020,5056,128
29-06-2020,5216,133
30-06-2020,5418,138
01-07-2020,5568,144
02-07-2020,5668,149
03-07-2020,5784,152
04-07-2020,5937,157
05-07-2020,6109,162
06-07-2020,6283,164
07-07-2020,6491,169
08-07-2020,6749,175
09-07-2020,6907,178
10-07-2020,7140,183
11-07-2020,7357,187
12-07-2020,7587,195
13-07-2020,7821,199
14-07-2020,8178,204
15-07-2020,8511,213
16-07-2020,8799,221
17-07-2020,9094,230
18-07-2020,9442,239
19-07-2020,9792,246
20-07-2020,10100,254
21-07-2020,10510,262
22-07-2020,10889,263
23-07-2020,11301,269
24-07-2020,11739,277
25-07-2020,12216,282
26-07-2020,12684,291
27-07-2020,13218,306
28-07-2020,13769,318
29-07-2020,14378,336
30-07-2020,14946,361
31-07-2020,15456,370
01-08-2020,16119,386
02-08-2020,17063,405
03-08-2020,17853,423
04-08-2020,18527,442
05-08-2020,19015,462
06-08-2020,19856,491
07-08-2020,20891,517
08-08-2020,21930,539
09-08-2020,22928,562
10-08-2020,23903,586
11-08-2020,24889,604
12-08-2020,25889,636
13-08-2020,26909,675
14-08-2020,27936,706
15-08-2020,29013,731
16-08-2020,30041,771
17-08-2020,31206,812
18-08-2020,32696,863
19-08-2020,34400,898
20-08-2020,36084,921
21-08-2020,37824,957
22-08-2020,39327,991
23-08-2020,40643,1036
24-08-2020,41779,1086
25-08-2020,43284,1129
26-08-2020,44577,1178
27-08-2020,46090,1219
28-08-2020,47836,1256
29-08-2020,49378,1307
30-08-2020,50848,1348
31-08-2020,52526,1404
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
