Date,Cases,Deaths
01-04-2020,93,0
02-04-2020,108,0
03-04-2020,167,0
04-04-2020,200,0
05-04-2020,200,0
06-04-2020,274,0
07-04-2020,288,3
08-04-2020,328,3
09-04-2020,383,3
10-04-2020,463,3
11-04-2020,553,3
12-04-2020,700,3
13-04-2020,812,3
14-04-2020,879,3
15-04-2020,1005,3
16-04-2020,1023,3
17-04-2020,1131,11
18-04-2020,1229,11
19-04-2020,1351,11
20-04-2020,1478,14
21-04-2020,1576,25
22-04-2020,1801,25
23-04-2020,1890,27
24-04-2020,1964,27
25-04-2020,2034,27
26-04-2020,2083,33
27-04-2020,2185,41
28-04-2020,2262,46
29-04-2020,2364,51
30-04-2020,2438,51
01-05-2020,2584,58
02-05-2020,2666,62
03-05-2020,2772,65
04-05-2020,2886,71
05-05-2020,3061,77
06-05-2020,3158,89
07-05-2020,3317,92
08-05-2020,3427,97
09-05-2020,3579,101
10-05-2020,3708,106
11-05-2020,3814,107
12-05-2020,3988,113
13-05-2020,4126,117
14-05-2020,4328,121
15-05-2020,4534,125
16-05-2020,4727,125
17-05-2020,4960,126
18-05-2020,5202,131
19-05-2020,5507,138
20-05-2020,5845,143
21-05-2020,6015,147
22-05-2020,6227,151
23-05-2020,6494,153
24-05-2020,6742,160
25-05-2020,7028,163
26-05-2020,7300,167
27-05-2020,7536,170
28-05-2020,7703,173
29-05-2020,8067,180
30-05-2020,8365,184
31-05-2020,8617,193
01-06-2020,8831,194
02-06-2020,8980,198
03-06-2020,9373,203
04-06-2020,9652,209
05-06-2020,9862,213
06-06-2020,10084,218
07-06-2020,10331,231
08-06-2020,10599,240
09-06-2020,10763,246
10-06-2020,11245,255
11-06-2020,11600,259
12-06-2020,11838,265
13-06-2020,12068,272
14-06-2020,12401,282
15-06-2020,12694,292
16-06-2020,12981,301
17-06-2020,13216,308
18-06-2020,13542,313
19-06-2020,13857,323
20-06-2020,14156,333
21-06-2020,14536,337
22-06-2020,14930,349
23-06-2020,15232,356
24-06-2020,15627,365
25-06-2020,16009,375
26-06-2020,16296,379
27-06-2020,16660,380
28-06-2020,16944,391
29-06-2020,17271,399
30-06-2020,17660,405
01-07-2020,18014,413
02-07-2020,18312,421
03-07-2020,18662,430
04-07-2020,19052,440
05-07-2020,19532,447
06-07-2020,20164,456
07-07-2020,20688,461
08-07-2020,21404,472
09-07-2020,22063,482
10-07-2020,22563,491
11-07-2020,23174,497
12-07-2020,23748,503
13-07-2020,24392,510
14-07-2020,24936,525
15-07-2020,25571,525
16-07-2020,26437,530
17-07-2020,27174,538
18-07-2020,27789,546
19-07-2020,28500,553
20-07-2020,29434,559
21-07-2020,30390,568
22-07-2020,31373,577
23-07-2020,32334,583
24-07-2020,33220,594
25-07-2020,34178,602
26-07-2020,35298,613
27-07-2020,35909,621
28-07-2020,36878,631
29-07-2020,38514,644
30-07-2020,38964,650
31-07-2020,40145,663
01-08-2020,41298,674
02-08-2020,42646,690
03-08-2020,43804,703
04-08-2020,44975,715
05-08-2020,46679,732
06-08-2020,47272,745
07-08-2020,48996,757
08-08-2020,50157,767
09-08-2020,51328,778
10-08-2020,52497,789
11-08-2020,53670,800
12-08-2020,54887,811
13-08-2020,56100,822
14-08-2020,57414,833
15-08-2020,58692,846
16-08-2020,59979,862
17-08-2020,61296,876
18-08-2020,62630,887
19-08-2020,63977,898
20-08-2020,65289,910
21-08-2020,66619,921
22-08-2020,67954,933
23-08-2020,69264,944
24-08-2020,70609,955
25-08-2020,71955,967
26-08-2020,73325,980
27-08-2020,74670,992
28-08-2020,76015,1005
29-08-2020,77370,1017
30-08-2020,78777,1030
31-08-2020,80227,1043
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
