Date,Cases,Deaths
01-04-2020,,
02-04-2020,,
03-04-2020,,
04-04-2020,,
05-04-2020,,
06-04-2020,,
07-04-2020,,
08-04-2020,,
09-04-2020,,
10-04-2020,,
11-04-2020,,
12-04-2020,,
13-04-2020,,
14-04-2020,,
15-04-2020,,
16-04-2020,,
17-04-2020,,
18-04-2020,,
19-04-2020,,
20-04-2020,,
21-04-2020,,
22-04-2020,,
23-04-2020,,
24-04-2020,,
25-04-2020,,
26-04-2020,,
27-04-2020,,
28-04-2020,,
29-04-2020,,
30-04-2020,,
01-05-2020,,
02-05-2020,,
03-05-2020,,
04-05-2020,,
05-05-2020,,
06-05-2020,,
07-05-2020,,
08-05-2020,,
09-05-2020,,
10-05-2020,,
11-05-2020,,
12-05-2020,,
13-05-2020,,
14-05-2020,,
15-05-2020,,
16-05-2020,,
17-05-2020,,
18-05-2020,,
19-05-2020,,
20-05-2020,,
21-05-2020,,
22-05-2020,,
23-05-2020,,
24-05-2020,1,0
25-05-2020,1,0
26-05-2020,1,0
27-05-2020,1,0
28-05-2020,1,0
29-05-2020,1,0
30-05-2020,1,0
31-05-2020,1,0
01-06-2020,1,0
02-06-2020,1,0
03-06-2020,1,0
04-06-2020,2,0
05-06-2020,2,0
06-06-2020,3,0
07-06-2020,7,0
08-06-2020,7,0
09-06-2020,7,0
10-06-2020,13,0
11-06-2020,13,0
12-06-2020,14,0
13-06-2020,63,0
14-06-2020,63,0
15-06-2020,68,0
16-06-2020,68,0
17-06-2020,70,0
18-06-2020,70,0
19-06-2020,70,0
20-06-2020,70,0
21-06-2020,70,0
22-06-2020,78,0
23-06-2020,78,0
24-06-2020,79,0
25-06-2020,84,0
26-06-2020,85,0
27-06-2020,86,0
28-06-2020,87,0
29-06-2020,88,0
30-06-2020,88,0
01-07-2020,89,0
02-07-2020,101,0
03-07-2020,102,0
04-07-2020,102,0
05-07-2020,103,0
06-07-2020,123,0
07-07-2020,125,0
08-07-2020,125,0
09-07-2020,133,0
10-07-2020,134,0
11-07-2020,134,0
12-07-2020,151,0
13-07-2020,153,0
14-07-2020,192,0
15-07-2020,209,0
16-07-2020,220,0
17-07-2020,243,0
18-07-2020,266,0
19-07-2020,275,0
20-07-2020,283,0
21-07-2020,305,0
22-07-2020,330,0
23-07-2020,438,0
24-07-2020,460,0
25-07-2020,477,0
26-07-2020,499,0
27-07-2020,545,0
28-07-2020,555,1
29-07-2020,579,1
30-07-2020,596,1
31-07-2020,610,1
01-08-2020,639,1
02-08-2020,650,1
03-08-2020,658,1
04-08-2020,688,1
05-08-2020,783,1
06-08-2020,800,1
07-08-2020,829,1
08-08-2020,854,1
09-08-2020,860,1
10-08-2020,866,1
11-08-2020,910,1
12-08-2020,913,1
13-08-2020,930,1
14-08-2020,931,1
15-08-2020,1080,1
16-08-2020,1148,1
17-08-2020,1167,1
18-08-2020,1187,1
19-08-2020,1207,2
20-08-2020,1232,3
21-08-2020,1290,3
22-08-2020,1336,3
23-08-2020,1381,3
24-08-2020,1403,3
25-08-2020,1446,3
26-08-2020,1475,3
27-08-2020,1486,3
28-08-2020,1542,3
29-08-2020,1576,3
30-08-2020,1602,3
31-08-2020,1627,3
,,
,,
,,
