Date,Cases,Deaths
01-04-2020,234,1
02-04-2020,234,1
03-04-2020,309,1
04-04-2020,411,2
05-04-2020,485,3
06-04-2020,571,5
07-04-2020,621,5
08-04-2020,690,7
09-04-2020,738,8
10-04-2020,834,8
11-04-2020,911,8
12-04-2020,969,10
13-04-2020,1075,11
14-04-2020,1173,11
15-04-2020,1204,12
16-04-2020,1242,14
17-04-2020,1267,15
18-04-2020,1323,15
19-04-2020,1372,15
20-04-2020,1477,15
21-04-2020,1520,17
22-04-2020,1596,18
23-04-2020,1629,18
24-04-2020,1683,20
25-04-2020,1755,22
26-04-2020,1821,23
27-04-2020,1885,24
28-04-2020,1937,24
29-04-2020,2058,25
30-04-2020,2162,27
01-05-2020,2323,27
02-05-2020,2526,28
03-05-2020,2757,29
04-05-2020,3023,30
05-05-2020,3550,31
06-05-2020,4058,33
07-05-2020,4829,35
08-05-2020,5409,37
09-05-2020,6009,40
10-05-2020,6535,44
11-05-2020,7204,47
12-05-2020,8002,53
13-05-2020,8718,61
14-05-2020,9227,64
15-05-2020,9674,66
16-05-2020,10108,71
17-05-2020,10585,74
18-05-2020,11224,78
19-05-2020,11760,81
20-05-2020,12448,84
21-05-2020,13191,87
22-05-2020,13967,94
23-05-2020,14753,98
24-05-2020,15512,103
25-05-2020,16277,111
26-05-2020,17082,118
27-05-2020,17728,127
28-05-2020,18545,133
29-05-2020,19372,145
30-05-2020,20246,154
31-05-2020,21184,160
01-06-2020,22333,173
02-06-2020,23495,184
03-06-2020,24586,197
04-06-2020,25872,208
05-06-2020,27256,220
06-06-2020,28694,232
07-06-2020,30152,251
08-06-2020,31667,269
09-06-2020,33229,286
10-06-2020,34914,307
11-06-2020,36841,326
12-06-2020,38716,349
13-06-2020,40698,367
14-06-2020,42687,397
15-06-2020,44661,435
16-06-2020,46504,479
17-06-2020,48019,528
18-06-2020,50193,576
19-06-2020,52334,625
20-06-2020,54449,666
21-06-2020,56845,704
22-06-2020,59377,757
23-06-2020,62087,794
24-06-2020,64603,833
25-06-2020,67468,866
26-06-2020,70977,911
27-06-2020,74622,957
28-06-2020,78335,1025
29-06-2020,82275,1079
30-06-2020,86224,1141
01-07-2020,90167,1201
02-07-2020,94049,1264
03-07-2020,98392,1321
04-07-2020,102721,1385
05-07-2020,107001,1450
06-07-2020,111151,1510
07-07-2020,114978,1571
08-07-2020,118594,1636
09-07-2020,122350,1700
10-07-2020,126581,1765
11-07-2020,130261,1829
12-07-2020,134226,1898
13-07-2020,138470,1966
14-07-2020,142798,2032
15-07-2020,147324,2099
16-07-2020,151820,2167
17-07-2020,156369,2236
18-07-2020,160907,2315
19-07-2020,165714,2403
20-07-2020,170693,2481
21-07-2020,175678,2551
22-07-2020,180643,2626
23-07-2020,186492,3144
24-07-2020,192964,3232
25-07-2020,199749,3320
26-07-2020,206737,3409
27-07-2020,213723,3494
28-07-2020,220716,3571
29-07-2020,227688,3659
30-07-2020,234114,3741
31-07-2020,239978,3838
01-08-2020,245859,3935
02-08-2020,251738,4034
03-08-2020,257613,4132
04-08-2020,263222,4241
05-08-2020,268285,4349
06-08-2020,273460,4461
07-08-2020,279144,4571
08-08-2020,285024,4690
09-08-2020,290907,4808
10-08-2020,296901,4927
11-08-2020,302815,5041
12-08-2020,308649,5159
13-08-2020,314520,5278
14-08-2020,320355,5397
15-08-2020,326245,5514
16-08-2020,332105,5641
17-08-2020,338055,5766
18-08-2020,343945,5886
19-08-2020,349654,6007
20-08-2020,355449,6123
21-08-2020,361435,6239
22-08-2020,367430,6340
23-08-2020,373410,6420
24-08-2020,379385,6517
25-08-2020,385352,6614
26-08-2020,391303,6721
27-08-2020,397261,6839
28-08-2020,403242,6948
29-08-2020,409238,7050
30-08-2020,415590,7137
31-08-2020,422085,7231
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
