Date,Cases,Deaths
01-04-2020,96,3
02-04-2020,107,3
03-04-2020,158,7
04-04-2020,159,7
05-04-2020,269,7
06-04-2020,321,7
07-04-2020,364,7
08-04-2020,427,7
09-04-2020,442,7
10-04-2020,473,7
11-04-2020,504,9
12-04-2020,504,9
13-04-2020,562,16
14-04-2020,624,17
15-04-2020,647,18
16-04-2020,698,18
17-04-2020,743,18
18-04-2020,791,18
19-04-2020,844,18
20-04-2020,873,21
21-04-2020,919,23
22-04-2020,945,23
23-04-2020,960,24
24-04-2020,984,26
25-04-2020,984,26
26-04-2020,991,26
27-04-2020,1002,26
28-04-2020,1004,26
29-04-2020,1012,26
30-04-2020,1012,26
01-05-2020,1039,26
02-05-2020,1039,26
03-05-2020,1063,28
04-05-2020,1082,29
05-05-2020,1085,29
06-05-2020,1096,29
07-05-2020,1107,29
08-05-2020,1123,29
09-05-2020,1133,29
10-05-2020,1163,30
11-05-2020,1196,30
12-05-2020,1275,30
13-05-2020,1326,32
14-05-2020,1367,34
15-05-2020,1414,34
16-05-2020,1454,34
17-05-2020,1509,34
18-05-2020,1551,34
19-05-2020,1597,35
20-05-2020,1634,38
21-05-2020,1661,40
22-05-2020,1699,45
23-05-2020,1761,45
24-05-2020,1813,49
25-05-2020,1854,53
26-05-2020,1920,56
27-05-2020,1991,57
28-05-2020,2098,63
29-05-2020,2256,67
30-05-2020,2425,71
31-05-2020,2499,77
01-06-2020,2698,82
02-06-2020,2792,88
03-06-2020,2891,92
04-06-2020,3020,99
05-06-2020,3147,105
06-06-2020,3290,113
07-06-2020,3496,123
08-06-2020,3580,123
09-06-2020,3650,137
10-06-2020,3920,148
11-06-2020,4111,156
12-06-2020,4320,165
13-06-2020,4484,174
14-06-2020,4737,182
15-06-2020,4974,185
16-06-2020,5193,187
17-06-2020,5406,191
18-06-2020,5675,192
19-06-2020,6027,195
20-06-2020,6526,198
21-06-2020,7072,203
22-06-2020,7802,210
23-06-2020,8674,217
24-06-2020,9553,220
25-06-2020,10444,225
26-06-2020,11364,230
27-06-2020,12349,237
28-06-2020,13436,243
29-06-2020,14419,247
30-06-2020,15394,253
01-07-2020,16339,260
02-07-2020,17357,267
03-07-2020,18570,275
04-07-2020,20462,283
05-07-2020,22312,288
06-07-2020,23902,295
07-07-2020,25733,306
08-07-2020,27612,313
09-07-2020,29536,324
10-07-2020,30946,331
11-07-2020,32224,339
12-07-2020,33402,348
13-07-2020,34671,356
14-07-2020,36221,365
15-07-2020,37745,375
16-07-2020,39342,386
17-07-2020,41018,396
18-07-2020,42496,403
19-07-2020,43780,409
20-07-2020,45076,415
21-07-2020,46274,422
22-07-2020,47705,429
23-07-2020,49259,438
24-07-2020,50826,447
25-07-2020,52466,455
27-07-2020,54059,463
26-07-2020,52466,455
27-07-2020,,
28-07-2020,,
29-07-2020,,
30-07-2020,,
31-07-2020,,
01-08-2020,,
02-08-2020,,
03-08-2020,,
04-08-2020,,
05-08-2020,,
06-08-2020,,
07-08-2020,,
08-08-2020,,
09-08-2020,,
10-08-2020,,
11-08-2020,,
12-08-2020,,
13-08-2020,,
14-08-2020,,
15-08-2020,,
16-08-2020,,
17-08-2020,,
18-08-2020,,
19-08-2020,,
20-08-2020,,
21-08-2020,,
22-08-2020,,
23-08-2020,,
24-08-2020,,
25-08-2020,,
26-08-2020,,
27-08-2020,,
28-08-2020,,
29-08-2020,,
30-08-2020,,
31-08-2020,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
