Date,Cases,Deaths
01-04-2020,,
02-04-2020,,
03-04-2020,,
04-04-2020,,
05-04-2020,,
06-04-2020,,
07-04-2020,1,0
08-04-2020,1,0
09-04-2020,1,0
10-04-2020,1,0
11-04-2020,2,0
12-04-2020,2,0
13-04-2020,2,0
14-04-2020,2,0
15-04-2020,2,0
16-04-2020,2,0
17-04-2020,2,0
18-04-2020,2,0
19-04-2020,2,0
20-04-2020,2,0
21-04-2020,2,0
22-04-2020,2,0
23-04-2020,2,0
24-04-2020,2,0
25-04-2020,2,0
26-04-2020,2,0
27-04-2020,2,0
28-04-2020,2,0
29-04-2020,2,0
30-04-2020,2,0
01-05-2020,2,0
02-05-2020,2,0
03-05-2020,4,0
04-05-2020,16,0
05-05-2020,29,0
06-05-2020,43,0
07-05-2020,43,0
08-05-2020,65,0
09-05-2020,118,0
10-05-2020,134,0
11-05-2020,150,0
12-05-2020,152,0
13-05-2020,154,0
14-05-2020,155,0
15-05-2020,156,0
16-05-2020,156,0
17-05-2020,167,0
18-05-2020,167,0
19-05-2020,167,0
20-05-2020,173,0
21-05-2020,173,0
22-05-2020,173,0
23-05-2020,175,0
24-05-2020,189,0
25-05-2020,191,0
26-05-2020,194,0
27-05-2020,207,0
28-05-2020,230,0
29-05-2020,242,0
30-05-2020,251,0
31-05-2020,268,0
01-06-2020,313,0
02-06-2020,420,0
03-06-2020,468,0
04-06-2020,468,0
05-06-2020,644,0
06-06-2020,692,0
07-06-2020,747,0
08-06-2020,800,0
09-06-2020,838,0
10-06-2020,864,1
11-06-2020,895,1
12-06-2020,913,1
13-06-2020,961,1
14-06-2020,1046,1
15-06-2020,1076,1
16-06-2020,1086,1
17-06-2020,1092,1
18-06-2020,1135,1
19-06-2020,1155,1
20-06-2020,1178,1
21-06-2020,1186,1
22-06-2020,1221,1
23-06-2020,1237,1
24-06-2020,1259,1
25-06-2020,1259,1
26-06-2020,1290,1
27-06-2020,1325,1
28-06-2020,1334,1
29-06-2020,1346,1
30-06-2020,1380,1
01-07-2020,1388,1
02-07-2020,1396,1
03-07-2020,1435,1
04-07-2020,1525,1
05-07-2020,1546,1
06-07-2020,1568,1
07-07-2020,1680,1
08-07-2020,1704,1
09-07-2020,1761,1
10-07-2020,1776,1
11-07-2020,1918,1
12-07-2020,1949,2
13-07-2020,2054,2
14-07-2020,2080,2
15-07-2020,2170,2
16-07-2020,2268,3
17-07-2020,2283,3
18-07-2020,2366,3
19-07-2020,2654,5
20-07-2020,2878,5
21-07-2020,3079,7
22-07-2020,3331,8
23-07-2020,3449,9
24-07-2020,3656,10
25-07-2020,3759,11
26-07-2020,3862,11
27-07-2020,3900,13
28-07-2020,4049,17
29-07-2020,4269,21
30-07-2020,4485,21
31-07-2020,4706,21
01-08-2020,4978,21
02-08-2020,5233,23
03-08-2020,5374,27
04-08-2020,5505,28
05-08-2020,5628,30
06-08-2020,5725,31
07-08-2020,5853,36
08-08-2020,5999,37
09-08-2020,6146,41
10-08-2020,6208,42
11-08-2020,6372,43
12-08-2020,6482,43
13-08-2020,6603,44
14-08-2020,6767,46
15-08-2020,6934,50
16-08-2020,7061,55
17-08-2020,7204,59
18-08-2020,7409,62
19-08-2020,7645,65
20-08-2020,7835,65
21-08-2020,8091,69
22-08-2020,8371,70
23-08-2020,8702,72
24-08-2020,8902,73
25-08-2020,9195,78
26-08-2020,9523,83
27-08-2020,9908,85
28-08-2020,10414,89
29-08-2020,10857,94
30-08-2020,11307,98
31-08-2020,11644,103
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
