Date,Cases,Deaths
01-04-2020,7,0
02-04-2020,7,0
03-04-2020,10,0
04-04-2020,16,0
05-04-2020,22,0
06-04-2020,26,0
07-04-2020,31,0
08-04-2020,31,0
09-04-2020,35,0
10-04-2020,35,0
11-04-2020,35,0
12-04-2020,35,0
13-04-2020,35,0
14-04-2020,35,0
15-04-2020,37,0
16-04-2020,37,0
17-04-2020,37,0
18-04-2020,42,0
19-04-2020,42,0
20-04-2020,44,0
21-04-2020,46,0
22-04-2020,46,0
23-04-2020,46,0
24-04-2020,47,0
25-04-2020,48,0
26-04-2020,50,0
27-04-2020,51,0
28-04-2020,51,0
29-04-2020,54,0
30-04-2020,55,0
01-05-2020,57,0
02-05-2020,58,0
03-05-2020,59,0
04-05-2020,60,1
05-05-2020,60,1
06-05-2020,61,1
07-05-2020,61,1
08-05-2020,61,1
09-05-2020,63,1
10-05-2020,67,1
11-05-2020,68,1
12-05-2020,68,1
13-05-2020,69,1
14-05-2020,72,1
15-05-2020,78,1
16-05-2020,82,1
17-05-2020,88,1
18-05-2020,92,1
19-05-2020,93,1
20-05-2020,111,1
21-05-2020,122,1
22-05-2020,146,1
23-05-2020,153,1
24-05-2020,244,2
25-05-2020,317,3
26-05-2020,349,3
27-05-2020,401,4
28-05-2020,469,4
29-05-2020,500,4
30-05-2020,716,5
31-05-2020,749,5
01-06-2020,907,5
02-06-2020,958,6
03-06-2020,1043,7
04-06-2020,1085,8
05-06-2020,1153,10
06-06-2020,1215,11
07-06-2020,1303,11
08-06-2020,1355,13
09-06-2020,1411,13
10-06-2020,1537,13
11-06-2020,1562,15
12-06-2020,1643,15
13-06-2020,1724,21
14-06-2020,1785,23
15-06-2020,1819,24
16-06-2020,1845,24
17-06-2020,1942,25
18-06-2020,2023,26
19-06-2020,2102,26
20-06-2020,2177,26
21-06-2020,2301,27
22-06-2020,2344,27
23-06-2020,2402,28
24-06-2020,2535,30
25-06-2020,2623,35
26-06-2020,2691,36
27-06-2020,2725,37
28-06-2020,2791,37
29-06-2020,2823,38
30-06-2020,2831,39
01-07-2020,2881,41
02-07-2020,2947,41
03-07-2020,2984,42
04-07-2020,3048,42
05-07-2020,3093,42
06-07-2020,3124,42
07-07-2020,3161,42
08-07-2020,3230,43
09-07-2020,3258,46
10-07-2020,3305,46
11-07-2020,3373,46
12-07-2020,3417,46
13-07-2020,3537,47
14-07-2020,3608,49
15-07-2020,3686,50
16-07-2020,3785,50
17-07-2020,3982,50
18-07-2020,4102,51
19-07-2020,4276,52
20-07-2020,4515,52
21-07-2020,4642,55
22-07-2020,4849,55
23-07-2020,5300,57
24-07-2020,5445,60
25-07-2020,5445,60
26-07-2020,5961,63
27-07-2020,6104,63
28-07-2020,6328,66
29-07-2020,6587,70
30-07-2020,6866,72
31-07-2020,7065,76
01-08-2020,7183,80
02-08-2020,7447,83
03-08-2020,7593,86
04-08-2020,7800,90
05-08-2020,8008,95
06-08-2020,8254,98
07-08-2020,8552,98
08-08-2020,8901,112
09-08-2020,9402,117
10-08-2020,9632,125
11-08-2020,10021,134
12-08-2020,10432,136
13-08-2020,10886,140
14-08-2020,11302,143
15-08-2020,11615,147
16-08-2020,11940,151
17-08-2020,12175,152
18-08-2020,12493,158
19-08-2020,12961,164
20-08-2020,13225,178
21-08-2020,13636,187
22-08-2020,14083,192
23-08-2020,14566,195
24-08-2020,15124,200
25-08-2020,15529,207
26-08-2020,16014,213
27-08-2020,16549,219
28-08-2020,17277,228
29-08-2020,17865,239
30-08-2020,18571,250
31-08-2020,19235,257
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
