Date,Cases,Deaths
01-04-2020,103,2
02-04-2020,113,2
03-04-2020,172,2
04-04-2020,174,2
05-04-2020,227,2
06-04-2020,305,3
07-04-2020,305,3
08-04-2020,343,3
09-04-2020,410,4
10-04-2020,431,4
11-04-2020,433,4
12-04-2020,452,5
13-04-2020,483,5
14-04-2020,657,5
15-04-2020,735,11
16-04-2020,773,13
17-04-2020,846,14
18-04-2020,969,14
19-04-2020,1084,17
20-04-2020,1176,17
21-04-2020,1294,20
22-04-2020,1412,21
23-04-2020,1509,21
24-04-2020,1604,24
25-04-2020,1778,26
26-04-2020,1843,29
27-04-2020,1955,31
28-04-2020,2043,31
29-04-2020,2115,36
30-04-2020,2203,39
01-05-2020,2281,41
02-05-2020,2328,42
03-05-2020,2626,43
04-05-2020,2742,45
05-05-2020,2859,53
06-05-2020,2880,56
07-05-2020,2998,60
08-05-2020,3071,62
09-05-2020,3214,66
10-05-2020,3373,74
11-05-2020,3467,74
12-05-2020,3573,80
13-05-2020,3664,82
14-05-2020,3729,83
15-05-2020,3902,88
16-05-2020,4057,95
17-05-2020,4258,104
18-05-2020,4259,104
19-05-2020,4605,118
20-05-2020,4926,123
21-05-2020,5175,127
22-05-2020,5515,138
23-05-2020,5735,152
24-05-2020,6017,155
25-05-2020,6268,161
26-05-2020,6532,165
27-05-2020,6548,170
28-05-2020,6991,182
29-05-2020,7170,197
30-05-2020,7284,198
31-05-2020,7445,201
01-06-2020,7823,213
02-06-2020,8075,217
03-06-2020,8361,222
04-06-2020,8729,229
05-06-2020,9237,245
06-06-2020,9733,257
07-06-2020,9733,257
08-06-2020,10536,275
09-06-2020,10947,283
10-06-2020,11335,301
11-06-2020,11610,321
12-06-2020,12088,345
13-06-2020,12616,365
14-06-2020,13118,385
15-06-2020,13615,399
16-06-2020,13615,399
17-06-2020,14091,417
18-06-2020,14598,435
19-06-2020,15181,465
20-06-2020,15785,488
21-06-2020,16594,507
22-06-2020,17731,550
23-06-2020,18322,569
24-06-2020,18893,588
25-06-2020,19557,596
26-06-2020,20193,611
27-06-2020,20943,630
28-06-2020,21549,649
29-06-2020,22147,660
30-06-2020,22828,672
01-07-2020,23492,697
02-07-2020,24056,718
03-07-2020,24825,735
04-07-2020,25797,749
05-07-2020,26554,773
06-07-2020,27707,785
07-07-2020,28636,809
08-07-2020,29968,827
09-07-2020,31156,845
10-07-2020,32362,862
11-07-2020,33700,889
12-07-2020,35092,913
13-07-2020,36476,934
14-07-2020,38130,955
15-07-2020,39724,983
16-07-2020,41383,1012
17-07-2020,43441,1046
18-07-2020,45163,1084
19-07-2020,47036,1108
20-07-2020,49247,1146
21-07-2020,51160,1192
22-07-2020,53288,1229
23-07-2020,55588,1263
24-07-2020,58104,1289
25-07-2020,60771,1348
26-07-2020,63742,1387
27-07-2020,66988,1426
28-07-2020,70493,1456
29-07-2020,73951,1497
30-07-2020,77334,1530
31-07-2020,81039,1587
01-08-2020,85461,1630
02-08-2020,89048,1677
03-08-2020,92921,1730
04-08-2020,97362,1778
05-08-2020,100310,1817
06-08-2020,104388,1857
07-08-2020,108974,1918
08-08-2020,113378,1981
09-08-2020,118038,2028
10-08-2020,122609,2069
11-08-2020,126722,2120
12-08-2020,131763,2176
13-08-2020,136238,2230
14-08-2020,140775,2280
15-08-2020,145287,2335
16-08-2020,150061,2393
17-08-2020,154418,2449
18-08-2020,158216,2515
19-08-2020,162434,2585
20-08-2020,167510,2638
21-08-2020,172334,2733
22-08-2020,177239,2797
23-08-2020,182453,2867
24-08-2020,187781,2926
25-08-2020,192382,2987
26-08-2020,197388,3059
27-08-2020,203028,3149
28-08-2020,208419,3217
29-08-2020,213824,3294
30-08-2020,219457,3356
31-08-2020,225632,3423
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
