Date,Cases,Deaths
01-04-2020,37,3
02-04-2020,53,3
03-04-2020,63,3
04-04-2020,69,3
05-04-2020,80,3
06-04-2020,80,3
07-04-2020,91,3
08-04-2020,99,5
09-04-2020,103,5
10-04-2020,116,5
11-04-2020,126,5
12-04-2020,134,5
13-04-2020,152,7
14-04-2020,190,7
15-04-2020,213,7
16-04-2020,231,7
17-04-2020,255,10
18-04-2020,287,10
19-04-2020,310,12
20-04-2020,339,12
21-04-2020,392,12
22-04-2020,423,15
23-04-2020,456,15
24-04-2020,514,15
25-04-2020,571,18
26-04-2020,611,18
27-04-2020,649,20
28-04-2020,697,20
29-04-2020,725,22
30-04-2020,758,22
01-05-2020,795,33
02-05-2020,795,33
03-05-2020,922,33
04-05-2020,963,35
05-05-2020,1259,133
06-05-2020,1344,140
07-05-2020,1456,144
08-05-2020,1548,151
09-05-2020,1678,160
10-05-2020,1786,171
11-05-2020,1939,185
12-05-2020,2063,190
13-05-2020,2173,198
14-05-2020,2290,207
15-05-2020,2377,215
16-05-2020,2461,225
17-05-2020,2576,232
18-05-2020,2677,238
19-05-2020,2825,244
20-05-2020,2961,250
21-05-2020,3103,253
22-05-2020,3197,259
23-05-2020,3332,265
24-05-2020,3459,269
25-05-2020,3667,272
26-05-2020,3816,278
27-05-2020,4009,283
28-05-2020,4192,289
29-05-2020,4536,295
30-05-2020,4813,302
31-05-2020,5130,309
01-06-2020,5501,317
02-06-2020,5772,325
03-06-2020,6168,335
04-06-2020,6508,345
05-06-2020,6876,355
06-06-2020,7303,366
07-06-2020,7738,383
08-06-2020,8187,396
09-06-2020,8613,405
10-06-2020,8985,415
11-06-2020,9328,432
12-06-2020,9768,442
13-06-2020,10244,451
14-06-2020,10698,463
15-06-2020,11087,475
16-06-2020,11494,485
17-06-2020,11909,495
18-06-2020,12300,506
19-06-2020,12735,518
20-06-2020,13090,529
21-06-2020,13531,540
22-06-2020,13945,555
23-06-2020,14358,569
24-06-2020,14728,580
25-06-2020,15173,591
26-06-2020,15648,606
27-06-2020,16190,616
28-06-2020,16711,629
29-06-2020,17283,639
30-06-2020,17907,653
01-07-2020,18559,668
02-07-2020,19170,683
03-07-2020,19819,699
04-07-2020,20488,717
05-07-2020,21231,736
06-07-2020,22126,757
07-07-2020,22987,779
08-07-2020,23837,804
09-07-2020,24823,827
10-07-2020,25911,854
11-07-2020,27109,880
12-07-2020,28453,906
13-07-2020,30013,932
14-07-2020,31448,956
15-07-2020,32838,980
16-07-2020,34427,1000
17-07-2020,36117,1023
18-07-2020,38011,1049
19-07-2020,40209,1076
20-07-2020,42487,1112
21-07-2020,44769,1147
22-07-2020,47030,1182
23-07-2020,49321,1221
24-07-2020,51757,1255
25-07-2020,53973,1290
26-07-2020,56377,1332
27-07-2020,58718,1372
28-07-2020,60830,1411
29-07-2020,62964,1449
30-07-2020,65258,1490
31-07-2020,67692,1536
01-08-2020,70188,1581
02-08-2020,72777,1629
03-08-2020,75516,1678
04-08-2020,78232,1731
05-08-2020,80984,1785
06-08-2020,83800,1846
07-08-2020,86754,1902
08-08-2020,89666,1954
09-08-2020,92615,2005
10-08-2020,95554,2059
11-08-2020,98459,2100
12-08-2020,101390,2149
13-08-2020,104326,2203
14-08-2020,107323,2259
15-08-2020,110358,2319
16-08-2020,113432,2377
17-08-2020,116498,2428
18-08-2020,119578,2473
19-08-2020,122753,2528
20-08-2020,125922,2581
21-08-2020,129119,2634
22-08-2020,132364,2689
23-08-2020,135596,2737
24-08-2020,138870,2794
25-08-2020,141837,2851
26-08-2020,144801,2909
27-08-2020,147775,2964
28-08-2020,150772,3017
29-08-2020,153754,3073
30-08-2020,156766,3126
31-08-2020,159785,3176
